# [0_3/90]_s                                                                      
# Operating point sequence...
# i     t     RY pos[ 1]    Psi[ 1]       V[ 1]         beta[ 1]     
  1  1.000               NaN           NaN           NaN           NaN
  2  2.000     -0.525945E-03  0.589333E-02   1.00421       11.2761    
  3  3.000     -0.210036E-02  0.235757E-01   2.00841       11.2564    
  4  4.000     -0.471319E-02  0.530522E-01   3.01259       11.2233    
  5  5.000     -0.834741E-02  0.943244E-01   4.01672       11.1762    
  6  6.000     -0.129788E-01  0.147379       5.02080       11.1144    
  7  7.000     -0.185756E-01  0.212175       6.02482       11.0372    
  8  8.000     -0.250982E-01  0.288622       7.02875       10.9438    
  9  9.000     -0.324988E-01  0.376565       8.03259       10.8334    
 10  10.00     -0.407215E-01  0.475757       9.03633       10.7051    
 11  11.00     -0.497022E-01  0.585845       10.0399       10.5584    
 12  12.00     -0.593692E-01  0.706341       11.0434       10.3929    
 13  13.00     -0.696437E-01  0.836618       12.0468       10.2086    
 14  14.00     -0.804412E-01  0.975896       13.0500       10.0055    
 15  15.00     -0.916726E-01   1.12324       14.0530       9.78430    
 16  16.00     -0.103246       1.27759       15.0559       9.54597    
 17  17.00     -0.115070       1.43775       16.0585       9.29180    
 18  18.00     -0.127052       1.60244       17.0611       9.02343    
 19  19.00     -0.139105       1.77030       18.0634       8.74280    
 20  20.00     -0.151144       1.93999       19.0655       8.45202    
 21  21.00     -0.163094       2.11016       20.0675       8.15335    
 22  22.00     -0.174884       2.27951       21.0693       7.84912    
 23  23.00     -0.186454       2.44683       22.0710       7.54163    
 24  24.00     -0.197750       2.61103       23.0725       7.23309    
 25  25.00     -0.208730       2.77113       24.0738       6.92559    
 26  26.00     -0.219359       2.92631       25.0750       6.62105    
 27  27.00     -0.229610       3.07587       26.0761       6.32116    
