# [0_3/90]_s                                                                      
# Operating point sequence...
# i     t     RY pos[ 1]    Psi[ 1]       V[ 1]         beta[ 1]     
  1  1.000               NaN           NaN           NaN           NaN
  2  2.000     -0.696884E-03  0.804105E-02   1.00757       16.5230    
  3  3.000     -0.278549E-02  0.322493E-01   2.01515       16.4985    
  4  4.000     -0.625976E-02  0.728756E-01   3.02272       16.4564    
  5  5.000     -0.111088E-01  0.130321       4.03029       16.3951    
  6  6.000     -0.173156E-01  0.205109       5.03787       16.3121    
  7  7.000     -0.248560E-01  0.297846       6.04543       16.2044    
  8  8.000     -0.336961E-01  0.409161       7.05298       16.0687    
  9  9.000     -0.437905E-01  0.539632       8.06051       15.9015    
 10  10.00     -0.550797E-01  0.689691       9.06801       15.6991    
 11  11.00     -0.674879E-01  0.859516       10.0754       15.4580    
 12  12.00     -0.809207E-01   1.04891       11.0828       15.1752    
 13  13.00     -0.952636E-01   1.25716       12.0901       14.8488    
 14  14.00     -0.110382       1.48300       13.0972       14.4777    
 15  15.00     -0.126120       1.72445       14.1041       14.0625    
 16  16.00     -0.142306       1.97890       15.1108       13.6050    
 17  17.00     -0.158758       2.24312       16.1172       13.1092    
 18  18.00     -0.175285       2.51344       17.1233       12.5801    
 19  19.00     -0.191703       2.78594       18.1290       12.0244    
 20  20.00     -0.207839       3.05676       19.1342       11.4493    
 21  21.00     -0.223542       3.32226       20.1391       10.8626    
 22  22.00     -0.238688       3.57929       21.1434       10.2717    
