  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 63012A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.9494   0.01532   0.00935   0.1377   0.6613   0.5307
   0.000  -0.7906   0.01734   0.01236   0.1209   0.6735   0.7802
   0.000  -0.7379   0.01634   0.01127   0.1136   0.6794   0.7906
   0.000  -0.6830   0.01631   0.01116   0.1067   0.6849   0.8057
   0.000  -0.5739   0.01849   0.01341   0.0936   0.6893   0.8269
   0.000  -0.5265   0.01655   0.01145   0.0861   0.6959   0.8311
   0.000  -0.4754   0.01472   0.00954   0.0778   0.7034   0.8326
   0.000  -0.4161   0.01300   0.00784   0.0680   0.7103   0.8326
   0.000  -0.3530   0.01168   0.00651   0.0576   0.7188   0.8315
   0.000  -0.2865   0.01050   0.00537   0.0468   0.7290   0.8292
   0.000  -0.2182   0.00965   0.00456   0.0356   0.7400   0.8249
   0.000  -0.1545   0.00913   0.00401   0.0246   0.7497   0.8170
   0.000  -0.0824   0.00868   0.00362   0.0128   0.7698   0.8062
   0.000  -0.0079   0.00856   0.00355   0.0007   0.7890   0.7915
   0.000   0.0670   0.00861   0.00354  -0.0116   0.8058   0.7767
   0.000   0.1317   0.00894   0.00390  -0.0229   0.8236   0.7642
   0.000   0.2038   0.00956   0.00447  -0.0349   0.8352   0.7517
   0.000   0.2742   0.01037   0.00526  -0.0465   0.8421   0.7397
   0.000   0.3409   0.01140   0.00628  -0.0574   0.8447   0.7283
   0.000   0.4057   0.01274   0.00758  -0.0681   0.8452   0.7192
   0.000   0.4660   0.01432   0.00915  -0.0780   0.8440   0.7109
   0.000   0.5179   0.01622   0.01104  -0.0864   0.8410   0.7042
   0.000   0.5616   0.01819   0.01311  -0.0934   0.8358   0.6959
   0.000   0.6168   0.01923   0.01418  -0.1010   0.8239   0.6888
   0.000   0.7252   0.01622   0.01116  -0.1136   0.7908   0.6842
   0.000   0.7828   0.01663   0.01165  -0.1212   0.7744   0.6785
   0.000   0.8670   0.01482   0.00982  -0.1317   0.7486   0.6734
   0.000   0.8983   0.01604   0.01112  -0.1350   0.7213   0.6680
   0.000   0.8826   0.02256   0.01775  -0.1343   0.7205   0.6626
