# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
  1  1.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  2  2.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.374022E-07
  3  3.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.155980E-06
  4  4.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.374861E-06
  5  5.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.726033E-06
  6  6.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.125469E-05
  7  7.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.201932E-05
  8  8.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.309192E-05
  9  9.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.455870E-05
 10  10.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.652096E-05
 11  11.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.909542E-05
 12  12.00     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.124130E-04
 13  13.00     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.166253E-04
 14  14.00     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.218968E-04
 15  15.00     -0.500000E-01  0.549998      0.500000E-01  0.549998      0.549998     -0.284158E-04
 16  16.00     -0.499999E-01  0.549998      0.500001E-01  0.549998      0.549998     -0.363864E-04
 17  17.00     -0.499999E-01  0.549997      0.500001E-01  0.549997      0.549997     -0.460381E-04
 18  18.00     -0.499999E-01  0.549997      0.500001E-01  0.549997      0.549997     -0.576214E-04
