# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
  1  1.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  2  2.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.243538E-06
  3  3.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.107540E-05
  4  4.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.279970E-05
  5  5.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.592611E-05
  6  6.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.111711E-04
  7  7.000     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.194649E-04
  8  8.000     -0.500000E-01  0.549998      0.500000E-01  0.549998      0.549998     -0.319549E-04
  9  9.000     -0.500000E-01  0.549997      0.500000E-01  0.549998      0.549997     -0.500137E-04
 10  10.00     -0.499999E-01  0.549996      0.500001E-01  0.549996      0.549996     -0.752471E-04
 11  11.00     -0.499998E-01  0.549994      0.500002E-01  0.549994      0.549994     -0.109506E-03
 12  12.00     -0.499997E-01  0.549991      0.500003E-01  0.549991      0.549991     -0.154888E-03
 13  13.00     -0.499995E-01  0.549987      0.500005E-01  0.549988      0.549987     -0.213771E-03
 14  14.00     -0.499992E-01  0.549982      0.500007E-01  0.549983      0.549983     -0.288806E-03
 15  15.00     -0.499989E-01  0.549976      0.500011E-01  0.549977      0.549976     -0.382942E-03
 16  16.00     -0.499985E-01  0.549968      0.500015E-01  0.549969      0.549969     -0.499457E-03
 17  17.00     -0.499980E-01  0.549959      0.500020E-01  0.549960      0.549959     -0.641954E-03
 18  18.00     -0.499973E-01  0.549947      0.500026E-01  0.549949      0.549948     -0.814398E-03
 19  19.00     -0.499965E-01  0.549933      0.500034E-01  0.549935      0.549934     -0.102115E-02
 20  20.00     -0.499956E-01  0.549917      0.500043E-01  0.549919      0.549918     -0.126698E-02
 21  21.00     -0.499945E-01  0.549897      0.500054E-01  0.549900      0.549898     -0.155710E-02
 22  22.00     -0.499931E-01  0.549873      0.500067E-01  0.549877      0.549875     -0.189721E-02
 23  23.00     -0.499916E-01  0.549846      0.500082E-01  0.549850      0.549848     -0.229354E-02
 24  24.00     -0.499898E-01  0.549815      0.500100E-01  0.549819      0.549817     -0.275283E-02
 25  25.00     -0.499876E-01  0.549778      0.500120E-01  0.549784      0.549781     -0.328249E-02
 26  26.00     -0.499852E-01  0.549736      0.500144E-01  0.549743      0.549739     -0.389052E-02
 27  27.00     -0.499824E-01  0.549687      0.500171E-01  0.549695      0.549691     -0.458572E-02
 28  28.00     -0.499792E-01  0.549632      0.500202E-01  0.549642      0.549637     -0.537757E-02
 29  29.00     -0.499756E-01  0.549570      0.500237E-01  0.549581      0.549575     -0.627647E-02
 30  30.00     -0.499715E-01  0.549498      0.500278E-01  0.549511      0.549505     -0.729367E-02
 31  31.00     -0.499668E-01  0.549418      0.500323E-01  0.549433      0.549426     -0.844143E-02
 32  32.00     -0.499616E-01  0.549328      0.500374E-01  0.549345      0.549336     -0.973314E-02
 33  33.00     -0.499556E-01  0.549226      0.500431E-01  0.549245      0.549236     -0.111834E-01
 34  34.00     -0.499490E-01  0.549112      0.500496E-01  0.549134      0.549123     -0.128079E-01
 35  35.00     -0.499416E-01  0.548984      0.500568E-01  0.549009      0.548997     -0.146241E-01
 36  36.00     -0.499334E-01  0.548841      0.500648E-01  0.548870      0.548856     -0.166507E-01
 37  37.00     -0.499242E-01  0.548682      0.500738E-01  0.548715      0.548698     -0.189084E-01
 38  38.00     -0.499139E-01  0.548504      0.500837E-01  0.548542      0.548523     -0.214194E-01
 39  39.00     -0.499026E-01  0.548307      0.500948E-01  0.548349      0.548328     -0.242082E-01
 40  40.00     -0.498900E-01  0.548088      0.501071E-01  0.548135      0.548112     -0.273016E-01
 41  41.00     -0.498760E-01  0.547845      0.501206E-01  0.547898      0.547871     -0.307289E-01
 42  42.00     -0.498606E-01  0.547575      0.501356E-01  0.547635      0.547605     -0.345219E-01
 43  43.00     -0.498436E-01  0.547277      0.501522E-01  0.547344      0.547311     -0.387158E-01
 44  44.00     -0.498248E-01  0.546947      0.501705E-01  0.547023      0.546985     -0.433488E-01
 45  45.00     -0.498041E-01  0.546582      0.501907E-01  0.546667      0.546624     -0.484631E-01
 46  46.00     -0.497813E-01  0.546179      0.502128E-01  0.546274      0.546226     -0.541050E-01
 47  47.00     -0.497562E-01  0.545734      0.502373E-01  0.545840      0.545787     -0.603251E-01
 48  48.00     -0.497286E-01  0.545243      0.502641E-01  0.545361      0.545302     -0.671796E-01
 49  49.00     -0.496983E-01  0.544702      0.502937E-01  0.544832      0.544767     -0.747300E-01
 50  50.00     -0.496650E-01  0.544104      0.503261E-01  0.544249      0.544177     -0.830444E-01
 51  51.00     -0.496285E-01  0.543445      0.503617E-01  0.543606      0.543526     -0.921979E-01
 52  52.00     -0.495883E-01  0.542719      0.504008E-01  0.542897      0.542808     -0.102274    
 53  53.00     -0.495443E-01  0.541918      0.504437E-01  0.542116      0.542017     -0.113365    
 54  54.00     -0.494959E-01  0.541034      0.504907E-01  0.541253      0.541144     -0.125573    
 55  55.00     -0.494429E-01  0.540060      0.505424E-01  0.540302      0.540181     -0.139014    
 56  56.00     -0.493848E-01  0.538984      0.505990E-01  0.539252      0.539118     -0.153815    
 57  57.00     -0.493210E-01  0.537797      0.506611E-01  0.538094      0.537945     -0.170119    
 58  58.00     -0.492509E-01  0.536485      0.507293E-01  0.536813      0.536649     -0.188088    
 59  59.00     -0.491741E-01  0.535035      0.508042E-01  0.535398      0.535216     -0.207905    
 60  60.00     -0.490896E-01  0.533430      0.508864E-01  0.533831      0.533631     -0.229776    
 61  61.00     -0.489969E-01  0.531653      0.509768E-01  0.532096      0.531874     -0.253937    
 62  62.00     -0.488948E-01  0.529681      0.510762E-01  0.530171      0.529926     -0.280662    
 63  63.00     -0.487825E-01  0.527489      0.511856E-01  0.528031      0.527760     -0.310263    
 64  64.00     -0.486587E-01  0.525050      0.513062E-01  0.525648      0.525349     -0.343109    
 65  65.00     -0.485220E-01  0.522326      0.514394E-01  0.522989      0.522658     -0.379635    
 66  66.00     -0.483706E-01  0.519278      0.515868E-01  0.520012      0.519645     -0.420363    
 67  67.00     -0.482028E-01  0.515853      0.517503E-01  0.516666      0.516259     -0.465929    
 68  68.00     -0.480158E-01  0.511986      0.519324E-01  0.512888      0.512437     -0.517126    
 69  69.00     -0.478067E-01  0.507595      0.521361E-01  0.508599      0.508097     -0.574965    
 70  70.00     -0.475713E-01  0.502570      0.523655E-01  0.503688      0.503129     -0.640786    
 71  71.00     -0.473039E-01  0.496758      0.526260E-01  0.498008      0.497383     -0.716441    
 72  72.00     -0.469963E-01  0.489933      0.529257E-01  0.491338      0.490635     -0.804646    
 73  73.00     -0.466353E-01  0.481735      0.532773E-01  0.483323      0.482529     -0.909742    
 74  74.00     -0.461970E-01  0.471505      0.537043E-01  0.473319      0.472412      -1.03963    
 75  75.00     -0.456264E-01  0.457723      0.542603E-01  0.459839      0.458781      -1.21252    
 76  76.00     -0.446827E-01  0.433754      0.551796E-01  0.436386      0.435070      -1.50776    
