,,EXPERIMENTAL DATA,,,,,ASWING,,,,,ERROR,,,,
Weight,span location ,Vf,fb1,fb2,ft,ff,Vf,fb1,fb2,ft,ff,Vf,fb1,fb2,ft,ff
0,0,"330,8","6,25","35,8","44,6","22,1","369,5","6,6485","41,7156","48,76","25,53","-11,6989117291415","-6,37600000000001","-16,5240223463687","-9,32735426008968","-15,5203619909502"
7A,8,"382,8","6,2",36,27,"19,1","354,5","6,6236","44,2191","33,0566","22,7414","7,39289446185998","-6,83225806451612","-22,8308333333333","-22,4318518518519","-19,0649214659686"
,11,"323,5","6,2","34,5","22,8","17,4","360,5","6,5643","44,6223","27,4903","20,4379","-11,4374034003091","-5,8758064516129","-29,34","-20,5714912280702","-17,4591954022989"
,16,"375,7","5,9","30,6",19,"15,5",,,,,,,,,,
7F,11,,,,,,292,6.5638,47.3403,30.7105,,,,,,
,16,,,,,,275.5000,6.3214,47.5832,  25.4928, 24.1241,,,,,
,24,,,,,,250,5.5292,  47.3025,25.1840, 21.9031,,,,,
,32,,,,,,277, 4.5602,45.3060, 32.4030, 21.0632,,,,,
,40,,,,,,303,3.7102,43.0875, 38.3517,15.3791,,,,,
,48,,,,,,319.5,3.0370, 46.8216, 29.3309,10.5,,,,,
7E,11,,,,,,,,,,,,,,,
,21,,,,,,360.5000,5.8568,48.7550,26.1081, 24.7059,,,,,
,29,,,,,,378.5000,4.8921,48.7542, 31.7284,21.3636,,,,,
,35,,,,,,392, 4.1885,48.7616,40.2170,17.9851,,,,,
,40,,,,,,403, 3.6751, 48.7642, 40.6235,14.5628,,,,,
,48,,,,,,,,,,,,,,,
7D,11,,,,,,371, 6.5628,48.4177, 32.5888, 24.6107,,,,,
,21,,,,,,383, 5.8627,48.3869,25.9751, 28.4701,,,,,
,27,,,,,,431.5000, 5.1486,48.2054,  29.2443,20.2848,,,,,
,33,,,,,,448,4.4238,47.5486,37.2071,17.8794,,,,,
,39,,,,,,464,3.7823, 47.3792, 41.1771, 14.4916,,,,,
