# [0_3/90]_s                                                                      
# Operating point sequence...
# i     t     RY pos[ 1]    Theta[ 1]    
  1  11.98     -0.901326E-01  -5.03820    
  2  11.98     -0.941285E-01  -5.18529    
  3  11.98     -0.983491E-01  -5.31089    
  4  11.98     -0.102870      -5.40540    
  5  11.98     -0.107711      -5.46319    
  6  11.98     -0.112870      -5.48071    
  7  11.98     -0.118328      -5.45620    
  8  11.98     -0.124055      -5.38970    
  9  11.99     -0.130015      -5.28319    
 10  11.99     -0.136164      -5.14070    
 11  11.99     -0.142460      -4.96814    
 12  11.99     -0.148862      -4.77306    
 13  11.99     -0.155333      -4.56402    
 14  11.99     -0.161841      -4.34989    
 15  11.99     -0.168360      -4.13898    
 16  11.99     -0.174870      -3.93826    
 17  11.99     -0.181356      -3.75282    
 18  11.99     -0.187804      -3.58555    
 19  12.00     -0.194206      -3.43727    
 20  12.00     -0.200552      -3.30708    
 21  12.00     -0.206831      -3.19309    
 22  12.00     -0.213028      -3.09318    
 23  12.00     -0.219127      -3.00573    
 24  12.00     -0.225109      -2.93004    
 25  12.00     -0.230957      -2.86646    
 26  12.00     -0.236654      -2.81597    
 27  12.00     -0.242190      -2.77956    
 28  12.00     -0.247556      -2.75735    
 29  12.01     -0.252750      -2.74793    
 30  12.01     -0.257773      -2.74798    
 31  12.01     -0.262626      -2.75224    
 32  12.01     -0.267313      -2.75394    
 33  12.01     -0.271837      -2.74555    
 34  12.01     -0.276197      -2.71956    
 35  12.01     -0.280394      -2.66937    
 36  12.01     -0.284424      -2.58996    
 37  12.01     -0.288279      -2.47831    
 38  12.01     -0.291953      -2.33371    
 39  12.02     -0.295433      -2.15759    
 40  12.02     -0.298711      -1.95331    
 41  12.02     -0.301775      -1.72555    
 42  12.02     -0.304615      -1.47972    
 43  12.02     -0.307226      -1.22120    
 44  12.02     -0.309601     -0.954753    
 45  12.02     -0.311737     -0.684117    
 46  12.02     -0.313635     -0.411876    
 47  12.02     -0.315294     -0.139633    
 48  12.02     -0.316715      0.131551    
 49  12.03     -0.317898      0.400593    
 50  12.03     -0.318842      0.665812    
 51  12.03     -0.319547      0.924502    
 52  12.03     -0.320011       1.17276    
 53  12.03     -0.320230       1.40558    
 54  12.03     -0.320203       1.61729    
 55  12.03     -0.319927       1.80213    
 56  12.03     -0.319399       1.95497    
 57  12.03     -0.318621       2.07195    
 58  12.03     -0.317592       2.15099    
 59  12.04     -0.316316       2.19202    
 60  12.04     -0.314796       2.19694    
 61  12.04     -0.313039       2.16932    
 62  12.04     -0.311051       2.11390    
 63  12.04     -0.308838       2.03597    
 64  12.04     -0.306408       1.94083    
 65  12.04     -0.303768       1.83330    
 66  12.04     -0.300924       1.71742    
 67  12.04     -0.297880       1.59642    
 68  12.04     -0.294642       1.47277    
 69  12.05     -0.291212       1.34848    
