# [0_3/90]_s                                                                      
# Operating point sequence...
# i     t     RY pos[ 1]    Theta[ 1]    
  1 0.9980     -0.312322      -11.3721    
  2 0.9990     -0.312262      -11.4039    
  3  1.000     -0.312205      -11.4366    
  4  1.001     -0.312150      -11.4706    
  5  1.002     -0.312100      -11.5057    
  6  1.003     -0.312053      -11.5420    
  7  1.004     -0.312010      -11.5792    
  8  1.005     -0.311972      -11.6173    
  9  1.006     -0.311939      -11.6559    
 10  1.007     -0.311911      -11.6949    
 11  1.008     -0.311887      -11.7341    
 12  1.009     -0.311869      -11.7732    
 13  1.010     -0.311854      -11.8119    
 14  1.011     -0.311845      -11.8500    
 15  1.012     -0.311839      -11.8871    
 16  1.013     -0.311837      -11.9231    
 17  1.014     -0.311839      -11.9577    
 18  1.015     -0.311844      -11.9906    
 19  1.016     -0.311852      -12.0216    
 20  1.017     -0.311863      -12.0503    
 21  1.018     -0.311876      -12.0767    
 22  1.019     -0.311892      -12.1005    
 23  1.020     -0.311909      -12.1216    
 24  1.021     -0.311929      -12.1397    
 25  1.022     -0.311951      -12.1548    
 26  1.023     -0.311974      -12.1669    
 27  1.024     -0.312000      -12.1759    
 28  1.025     -0.312027      -12.1817    
 29  1.026     -0.312056      -12.1845    
 30  1.027     -0.312087      -12.1842    
 31  1.028     -0.312120      -12.1810    
 32  1.029     -0.312155      -12.1749    
 33  1.030     -0.312194      -12.1661    
 34  1.031     -0.312235      -12.1548    
 35  1.032     -0.312279      -12.1411    
 36  1.033     -0.312326      -12.1252    
 37  1.034     -0.312378      -12.1073    
 38  1.035     -0.312433      -12.0877    
 39  1.036     -0.312493      -12.0665    
 40  1.037     -0.312557      -12.0441    
 41  1.038     -0.312626      -12.0205    
 42  1.039     -0.312700      -11.9960    
 43  1.040     -0.312779      -11.9709    
 44  1.041     -0.312863      -11.9454    
 45  1.042     -0.312952      -11.9196    
 46  1.043     -0.313046      -11.8937    
 47  1.044     -0.313145      -11.8679    
 48  1.045     -0.313249      -11.8424    
 49  1.046     -0.313357      -11.8172    
 50  1.047     -0.313468      -11.7926    
 51  1.048     -0.313584      -11.7686    
 52  1.049     -0.313701      -11.7453    
 53  1.050     -0.313821      -11.7228    
 54  1.051     -0.313942      -11.7010    
 55  1.052     -0.314064      -11.6801    
 56  1.053     -0.314185      -11.6601    
 57  1.054     -0.314304      -11.6408    
 58  1.055     -0.314421      -11.6222    
 59  1.056     -0.314535      -11.6044    
 60  1.057     -0.314644      -11.5872    
 61  1.058     -0.314748      -11.5705    
 62  1.059     -0.314846      -11.5542    
 63  1.060     -0.314936      -11.5383    
