# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000      -9.99396      0.650683      -18.3989       3.05785    
  2  2.000      -5.93849      0.751143      -21.4685       2.77620    
  3  3.000      -1.92817      0.810131      -25.3648       2.47978    
  4  4.000       1.99104      0.838155      -30.5003       2.12248    
  5  5.000       6.00217      0.843557      -38.0198       1.60721    
  6  6.000       10.0144      0.829616      -49.2607      0.864326    
  7  7.000       13.9825      0.799442      -64.9273      0.793099E-01
  8  8.000       15.9443      0.779140      -73.7684     -0.139327    
  9  9.000       17.9530      0.754982      -82.8602     -0.151692    
 10  10.00       19.9616      0.727648      -91.5376      0.514103E-01
 11  11.00       22.0618      0.695915      -99.9009      0.444213    
 12  12.00       22.6098      0.687133      -101.950      0.568481    
 13  13.00       23.4308      0.673608      -104.914      0.766564    
 14  14.00       24.0234      0.663577      -106.976      0.916491    
