# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000      -10.0509     -0.945284       16.1583       5.52462    
  2  2.000      -5.95166     -0.913003       18.1973       5.29770    
  3  3.000      -1.98907     -0.893474       20.8101       5.07332    
  4  4.000       2.06491     -0.878689       24.4469       4.79570    
  5  5.000       6.02668     -0.865788       29.4502       4.40442    
  6  6.000       9.85002     -0.853062       36.4687       3.79261    
  7  7.000       13.9447     -0.838247       48.1679       2.65926    
  8  8.000       15.9453     -0.830479       56.6561       1.84370    
  9  9.000       17.8538     -0.822802       67.9580      0.908734    
 10  10.00       19.9914     -0.814231       90.3044     -0.233451E-02
 11  11.00       21.9467     -0.808654       113.454      0.919415    
 12  12.00       22.4922     -0.805858       113.949       1.39778    
 13  13.00       23.0838     -0.802632       103.312       1.05533    
 14  14.00       23.5842     -0.800245       103.656       1.23025    
 15  15.00       23.9938     -0.798056       103.905       1.37903    
 16  16.00       24.4033     -0.795986       104.137       1.48243    
