# FFWT Flare 30                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000      -17.4484      -2.26606      -39.5319       4.75714    
  2  2.000      -16.4101      -2.15374      -35.6013       5.07934    
  3  3.000      -14.5259      -1.95753      -31.4013       5.34307    
  4  4.000      -10.8910      -1.62487      -26.6514       5.53559    
  5  5.000      -6.41592      -1.22406      -21.1184       5.66777    
  6  6.000      -2.19311     -0.843011      -15.5738       5.69508    
  7  7.000       1.92894     -0.471843      -9.82052       5.59330    
  8  8.000       6.30440     -0.828643E-01  -3.31828       5.30434    
  9  9.000       10.5033      0.281418       3.30543       4.82018    
 10  10.00       14.4055      0.608805       9.76569       4.18259    
 11  11.00       17.9521      0.902310       16.7082       3.37841    
 12  12.00       19.3851       1.02051       22.6002       2.71294    
 13  13.00       20.0187       1.05877       27.9647       2.15023    
 14  14.00       20.3678       1.06838       33.1105       1.64962    
 15  15.00       20.5627       1.06947       37.7279       1.23667    
 16  16.00       20.6769       1.07288       41.8788      0.898874    
 17  17.00       20.7534       1.08718       46.2947      0.578309    
