# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000     -0.617444     -0.768847     -0.722694    
  2  2.000       1.00000     -0.617408     -0.803120     -0.721090    
  3  3.000       2.00000     -0.617300     -0.832186     -0.716485    
  4  4.000       3.00000     -0.617122     -0.855151     -0.708867    
  5  5.000       4.00000     -0.616873     -0.870918     -0.698221    
  6  6.000       5.00000     -0.616553     -0.878073     -0.684522    
  7  7.000       6.00000     -0.616164     -0.874780     -0.667739    
  8  8.000       7.00000     -0.615706     -0.858647     -0.647840    
  9  9.000       8.00000     -0.615179     -0.826479     -0.624784    
 10  10.00       9.00000     -0.614585     -0.773912     -0.598528    
 11  11.00       10.0000     -0.613923     -0.694905     -0.569040    
 12  12.00       11.0000     -0.613195     -0.580806     -0.536291    
 13  13.00       12.0000     -0.612401     -0.418869     -0.500296    
 14  14.00       13.0000     -0.611544     -0.189615     -0.461136    
 15  15.00       14.0000     -0.610623      0.138034     -0.419065    
 16  16.00       15.0000     -0.609641      0.616072     -0.374736    
 17  17.00       16.0000     -0.608600       1.33631     -0.329807    
 18  18.00       17.0000     -0.607501       2.46929     -0.288646    
 19  19.00       18.0000     -0.606352       4.33639     -0.263463    
 20  20.00       19.0000     -0.605168       7.48682     -0.288217    
 21  21.00       20.0000     -0.603980       12.5539     -0.441011    
 22  22.00       21.0000     -0.602843       19.7568     -0.836480    
 23  23.00       22.0000     -0.601822       28.9037      -1.56617    
 24  24.00       23.0000     -0.601021       40.0791      -2.66599    
 25  25.00       24.0000     -0.600738       54.2537      -4.11469    
 26  26.00       25.0000     -0.602747       72.9044      -5.70761    
 27  27.00       26.0000     -0.604284       80.5911      -6.77179    
 28  28.00       27.0000     -0.603320       83.6725      -7.69625    
 29  29.00       28.0000     -0.602109       85.9233      -8.59781    
 30  30.00       29.0000     -0.600693       87.5321      -9.48452    
 31  31.00       30.0000     -0.599068       89.0000      -10.3617    
