# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000     -0.994742       9.20141     -0.420518    
  2  2.000       1.00000     -0.993830       9.61478     -0.435912    
  3  3.000       2.00000     -0.992719       10.0724     -0.450874    
  4  4.000       3.00000     -0.991395       10.5803     -0.465895    
  5  5.000       4.00000     -0.989848       11.1457     -0.481577    
  6  6.000       5.00000     -0.988072       11.7768     -0.498671    
  7  7.000       6.00000     -0.986058       12.4836     -0.518121    
  8  8.000       7.00000     -0.983803       13.2781     -0.541111    
  9  9.000       8.00000     -0.981305       14.1742     -0.569156    
 10  10.00       9.00000     -0.978562       15.1888     -0.604174    
 11  11.00       10.0000     -0.975574       16.3421     -0.648637    
 12  12.00       11.0000     -0.972342       17.6580     -0.705693    
 13  13.00       12.0000     -0.968870       19.1651     -0.779368    
 14  14.00       13.0000     -0.965162       20.8972     -0.874762    
 15  15.00       14.0000     -0.961222       22.8943     -0.998272    
 16  16.00       15.0000     -0.957057       25.2027      -1.15776    
 17  17.00       16.0000     -0.952679       27.8765      -1.36260    
 18  18.00       17.0000     -0.948098       30.9776      -1.62352    
 19  19.00       18.0000     -0.943330       34.5771      -1.95198    
 20  20.00       19.0000     -0.938397       38.7579      -2.35893    
 21  21.00       20.0000     -0.933327       43.6185      -2.85267    
 22  22.00       21.0000     -0.928170       49.2788      -3.43550    
 23  23.00       22.0000     -0.923013       55.8828      -4.09870    
 24  24.00       23.0000     -0.918056       63.5592      -4.81596    
 25  25.00       24.0000     -0.913880       72.1145      -5.54250    
 26  26.00       25.0000     -0.910053       78.5223      -6.28126    
 27  27.00       26.0000     -0.904196       81.7102      -7.06265    
 28  28.00       27.0000     -0.897850       84.1384      -7.85675    
 29  29.00       28.0000     -0.891266       86.0563      -8.65996    
 30  30.00       29.0000     -0.884386       87.5088      -9.47261    
 31  31.00       30.0000     -0.877206       88.8616      -10.2830    
