# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000     -0.459319       21.2281       8.01457    
  2  2.000       1.00000     -0.456376       22.1819       7.95636    
  3  3.000       2.00000     -0.453820       23.2282       7.89243    
  4  4.000       3.00000     -0.451604       24.3798       7.82120    
  5  5.000       4.00000     -0.449690       25.6523       7.74078    
  6  6.000       5.00000     -0.448046       27.0642       7.64883    
  7  7.000       6.00000     -0.446642       28.6377       7.54252    
  8  8.000       7.00000     -0.445457       30.4005       7.41837    
  9  9.000       8.00000     -0.444470       32.3866       7.27211    
 10  10.00       9.00000     -0.443664       34.6393       7.09849    
 11  11.00       10.0000     -0.443026       37.2143       6.89108    
 12  12.00       11.0000     -0.442541       40.1861       6.64199    
 13  13.00       12.0000     -0.442199       43.6582       6.34162    
 14  14.00       13.0000     -0.441988       47.7830       5.97835    
 15  15.00       14.0000     -0.441889       52.8048       5.53817    
 16  16.00       15.0000     -0.441861       59.1703       5.00425    
 17  17.00       16.0000     -0.441730       67.8910       4.35525    
 18  18.00       17.0000     -0.439487       81.4430       3.54413    
 19  19.00       18.0000     -0.435262       81.4953       2.82605    
 20  20.00       19.0000     -0.437225       90.9816      0.984489    
 21  21.00       20.0000     -0.438764       91.1685     -0.159715    
 22  22.00       21.0000     -0.440501       91.1638      -1.25835    
 23  23.00       22.0000     -0.465164       96.1208      -2.49178    
 24  24.00       23.0000     -0.448432       99.0323      -4.44990    
 25  25.00       24.0000      -1.61789       92.1058      -172.469    
 26  26.00       25.0000      -2.50726       92.8191       4.62186    
