ALPHA_M3,,ALPHA_0,,ALPHA_3,,ALPHA_6,,ALPHA_9,,ALPHA_12,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,-7.346938775510182,0.08849557522123863,2.9931972789115946,0.01,11.700680272108855,0.01,21.496598639455783,0.01,31.83673469387756,0,40.000000000000014
3.893805309734513,-9.523809523809518,3.9823008849557526,2.9931972789115946,3.9823008849557526,14.96598639455783,6.106194690265485,29.659863945578252,3.8053097345132736,36.73469387755104,6.017699115044247,50.884353741496625
7.964601769911503,-12.244897959183675,5.929203539823008,3.5374149659864145,8.141592920353979,18.231292517006807,9.999999999999996,37.27891156462587,7.876106194690265,45.44217687074831,9.911504424778759,61.22448979591837
11.858407079646017,-16.05442176870747,7.787610619469025,3.5374149659864145,11.681415929203538,24.21768707482994,16.3716814159292,73.19727891156464,11.858407079646017,59.591836734693885,16.46017699115044,90.6122448979592
14.955752212389378,-23.129251700680243,9.999999999999996,2.9931972789115946,14.86725663716814,34.5578231292517,16.99115044247787,80.81632653061226,15.132743362831857,75.37414965986396,18.495575221238937,104.76190476190477
17.876106194690262,-36.190476190476176,11.769911504424776,4.081632653061234,17.787610619469024,68.29931972789116,17.610619469026545,87.89115646258504,16.017699115044245,81.90476190476191,20.265486725663713,118.36734693877551
20.973451327433626,-61.224489795918345,15.840707964601766,5.714285714285722,18.14159292035398,125.98639455782315,18.14159292035398,94.96598639455783,17.079646017699112,90.06802721088437,21.32743362831858,125.44217687074831
24.070796460176986,-86.80272108843536,16.3716814159292,7.3469387755102105,,,18.495575221238937,113.46938775510205,18.14159292035398,98.2312925170068,,
26.81415929203539,-108.02721088435374,17.610619469026545,9.523809523809547,,,18.93805309734513,123.80952380952382,19.026548672566367,110.20408163265307,,
29.1150442477876,-117.82312925170066,18.93805309734513,14.421768707483011,,,,,19.91150442477876,121.6326530612245,,
,,19.91150442477876,27.482993197278915,,,,,,,,
