# FFWT Removed                                                                    
# Operating point sequence...
# i     t     Mc` mom[ 1]  
  1  0.000      0.732178    
  2 0.7700E-02  0.732178    
  3 0.1540E-01  0.732178    
  4 0.2310E-01  0.732178    
  5 0.3080E-01  0.732178    
  6 0.3850E-01  0.732177    
  7 0.4620E-01  0.732177    
  8 0.5390E-01  0.732177    
  9 0.6160E-01  0.732177    
 10 0.6930E-01  0.732176    
 11 0.7700E-01  0.732176    
 12 0.8470E-01  0.732175    
 13 0.9240E-01  0.732175    
 14 0.1001      0.732174    
 15 0.1078      0.732174    
 16 0.1155      0.732173    
 17 0.1232      0.732172    
 18 0.1309      0.732171    
 19 0.1386      0.732170    
 20 0.1463      0.732169    
 21 0.1540      0.732168    
 22 0.1617      0.732167    
 23 0.1694      0.732166    
 24 0.1771      0.732165    
 25 0.1848      0.732163    
 26 0.1925      0.732161    
 27 0.2002      0.732159    
 28 0.2079      0.732157    
 29 0.2156      0.732155    
 30 0.2233      0.732153    
 31 0.2310      0.732150    
 32 0.2387      0.732148    
 33 0.2464      0.732146    
 34 0.2541      0.732144    
 35 0.2618      0.732159    
 36 0.2695      0.732494    
 37 0.2772      0.733638    
 38 0.2849      0.736177    
 39 0.2926      0.740759    
 40 0.3003      0.747988    
 41 0.3080      0.758273    
 42 0.3157      0.771726    
 43 0.3234      0.788136    
 44 0.3311      0.807016    
 45 0.3388      0.827703    
 46 0.3465      0.849484    
 47 0.3542      0.871728    
 48 0.3619      0.893990    
 49 0.3696      0.916056    
 50 0.3773      0.937935    
 51 0.3850      0.959801    
 52 0.3927      0.981894    
 53 0.4004       1.00442    
 54 0.4081       1.02744    
 55 0.4158       1.05086    
 56 0.4235       1.07438    
 57 0.4312       1.09755    
 58 0.4389       1.11983    
 59 0.4466       1.14070    
 60 0.4543       1.15969    
 61 0.4620       1.17653    
 62 0.4697       1.19107    
 63 0.4774       1.20334    
 64 0.4851       1.21348    
 65 0.4928       1.22169    
 66 0.5005       1.22813    
 67 0.5082       1.23291    
 68 0.5159       1.23601    
 69 0.5236       1.23734    
 70 0.5313       1.23671    
 71 0.5390       1.23391    
 72 0.5467       1.22874    
 73 0.5544       1.22110    
 74 0.5621       1.21099    
 75 0.5698       1.19851    
 76 0.5775       1.18389    
 77 0.5852       1.16742    
 78 0.5929       1.14942    
 79 0.6006       1.13020    
 80 0.6083       1.10999    
 81 0.6160       1.08900    
 82 0.6237       1.06732    
 83 0.6314       1.04505    
 84 0.6391       1.02221    
 85 0.6468      0.998894    
 86 0.6545      0.975199    
 87 0.6622      0.951302    
 88 0.6699      0.927442    
 89 0.6776      0.903905    
 90 0.6853      0.881007    
 91 0.6930      0.859059    
 92 0.7007      0.838339    
 93 0.7084      0.819073    
 94 0.7161      0.801424    
 95 0.7238      0.785494    
 96 0.7315      0.771341    
 97 0.7392      0.758995    
 98 0.7469      0.748483    
 99 0.7546      0.739843    
100 0.7623      0.733138    
101 0.7700      0.728451    
102 0.7777      0.725881    
103 0.7854      0.725368    
104 0.7931      0.726546    
105 0.8008      0.728901    
106 0.8085      0.731793    
107 0.8162      0.734514    
108 0.8239      0.736448    
109 0.8316      0.737199    
110 0.8393      0.736675    
111 0.8470      0.735082    
112 0.8547      0.732853    
113 0.8624      0.730540    
114 0.8701      0.728677    
115 0.8778      0.727661    
116 0.8855      0.727666    
117 0.8932      0.728622    
118 0.9009      0.730247    
119 0.9086      0.732122    
120 0.9163      0.733801    
121 0.9240      0.734910    
122 0.9317      0.735232    
123 0.9394      0.734746    
124 0.9471      0.733614    
125 0.9548      0.732138    
126 0.9625      0.730678    
127 0.9702      0.729566    
128 0.9779      0.729032    
129 0.9856      0.729159    
130 0.9933      0.729873    
131  1.001      0.730971    
132  1.009      0.732174    
133  1.016      0.733198    
134  1.024      0.733820    
135  1.032      0.733923    
136  1.040      0.733517    
137  1.047      0.732728    
138  1.055      0.731760    
139  1.063      0.730847    
140  1.070      0.730192    
141  1.078      0.729928    
142  1.086      0.730089    
143  1.093      0.730607    
144  1.101      0.731339    
145  1.109      0.732104    
146  1.117      0.732721    
147  1.124      0.733060    
148  1.132      0.733059    
149  1.140      0.732740    
150  1.147      0.732197    
151  1.155      0.731568    
152  1.163      0.731001    
153  1.170      0.730622    
154  1.178      0.730504    
155  1.186      0.730655    
156  1.194      0.731022    
157  1.201      0.731506    
158  1.209      0.731987    
159  1.217      0.732355    
160  1.224      0.732531    
161  1.232      0.732488    
162  1.240      0.732249    
163  1.247      0.731880    
164  1.255      0.731475    
165  1.263      0.731127    
166  1.271      0.730912    
167  1.278      0.730868    
168  1.286      0.730994    
169  1.294      0.731248    
170  1.301      0.731563    
171  1.309      0.731862    
172  1.317      0.732076    
173  1.324      0.732161    
174  1.332      0.732105    
175  1.340      0.731930    
176  1.347      0.731682    
177  1.355      0.731422    
178  1.363      0.731211    
179  1.371      0.731091    
180  1.378      0.731084    
181  1.386      0.731183    
182  1.394      0.731357    
183  1.401      0.731561    
184  1.409      0.731745    
185  1.417      0.731867    
186  1.424      0.731902    
187  1.432      0.731848    
188  1.440      0.731722    
189  1.448      0.731556    
190  1.455      0.731391    
191  1.463      0.731263    
192  1.471      0.731198    
193  1.478      0.731206    
194  1.486      0.731280    
195  1.494      0.731397    
196  1.501      0.731527    
197  1.509      0.731638    
198  1.517      0.731706    
199  1.525      0.731716    
200  1.532      0.731669    
