# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     Mc` mom[ 1]  
  1  0.000      0.530039    
  2 0.7700E-02  0.530041    
  3 0.1540E-01  0.530041    
  4 0.2310E-01  0.530040    
  5 0.3080E-01  0.530040    
  6 0.3850E-01  0.530039    
  7 0.4620E-01  0.530036    
  8 0.5390E-01  0.530031    
  9 0.6160E-01  0.530026    
 10 0.6930E-01  0.530024    
 11 0.7700E-01  0.530027    
 12 0.8470E-01  0.530034    
 13 0.9240E-01  0.530041    
 14 0.1001      0.530046    
 15 0.1078      0.530045    
 16 0.1155      0.530038    
 17 0.1232      0.530028    
 18 0.1309      0.530019    
 19 0.1386      0.530016    
 20 0.1463      0.530020    
 21 0.1540      0.530029    
 22 0.1617      0.530038    
 23 0.1694      0.530043    
 24 0.1771      0.530042    
 25 0.1848      0.530035    
 26 0.1925      0.530025    
 27 0.2002      0.530017    
 28 0.2079      0.530015    
 29 0.2156      0.530017    
 30 0.2233      0.530024    
 31 0.2310      0.530030    
 32 0.2387      0.530034    
 33 0.2464      0.530033    
 34 0.2541      0.530029    
 35 0.2618      0.530022    
 36 0.2695      0.530017    
 37 0.2772      0.530195    
 38 0.2849      0.531045    
 39 0.2926      0.533163    
 40 0.3003      0.537046    
 41 0.3080      0.542869    
 42 0.3157      0.550402    
 43 0.3234      0.559122    
 44 0.3311      0.568457    
 45 0.3388      0.578004    
 46 0.3465      0.587640    
 47 0.3542      0.597467    
 48 0.3619      0.607664    
 49 0.3696      0.618318    
 50 0.3773      0.629331    
 51 0.3850      0.640442    
 52 0.3927      0.651337    
 53 0.4004      0.661777    
 54 0.4081      0.671679    
 55 0.4158      0.681109    
 56 0.4235      0.690209    
 57 0.4312      0.699104    
 58 0.4389      0.707823    
 59 0.4466      0.716294    
 60 0.4543      0.724378    
 61 0.4620      0.731942    
 62 0.4697      0.738915    
 63 0.4774      0.745300    
 64 0.4851      0.751148    
 65 0.4928      0.756505    
 66 0.5005      0.761373    
 67 0.5082      0.765688    
 68 0.5159      0.769337    
 69 0.5236      0.772193    
 70 0.5313      0.774158    
 71 0.5390      0.775180    
 72 0.5467      0.775253    
 73 0.5544      0.774397    
 74 0.5621      0.772627    
 75 0.5698      0.769940    
 76 0.5775      0.766311    
 77 0.5852      0.761714    
 78 0.5929      0.756141    
 79 0.6006      0.749619    
 80 0.6083      0.742209    
 81 0.6160      0.734002    
 82 0.6237      0.725097    
 83 0.6314      0.715594    
 84 0.6391      0.705581    
 85 0.6468      0.695142    
 86 0.6545      0.684364    
 87 0.6622      0.673350    
 88 0.6699      0.662213    
 89 0.6776      0.651077    
 90 0.6853      0.640063    
 91 0.6930      0.629282    
 92 0.7007      0.618827    
 93 0.7084      0.608774    
 94 0.7161      0.599191    
 95 0.7238      0.590141    
 96 0.7315      0.581684    
 97 0.7392      0.573879    
 98 0.7469      0.566785    
 99 0.7546      0.560460    
100 0.7623      0.554933    
101 0.7700      0.550231    
102 0.7777      0.546374    
103 0.7854      0.543378    
104 0.7931      0.541255    
105 0.8008      0.540021    
106 0.8085      0.539688    
107 0.8162      0.540130    
108 0.8239      0.540884    
109 0.8316      0.541350    
110 0.8393      0.540988    
111 0.8470      0.539546    
112 0.8547      0.537180    
113 0.8624      0.534354    
114 0.8701      0.531617    
115 0.8778      0.529363    
116 0.8855      0.527704    
117 0.8932      0.526503    
118 0.9009      0.525516    
119 0.9086      0.524565    
120 0.9163      0.523644    
121 0.9240      0.522913    
122 0.9317      0.522599    
123 0.9394      0.522864    
124 0.9471      0.523719    
125 0.9548      0.525015    
126 0.9625      0.526515    
127 0.9702      0.527992    
128 0.9779      0.529310    
129 0.9856      0.530447    
130 0.9933      0.531459    
131  1.001      0.532409    
132  1.009      0.533310    
133  1.016      0.534105    
134  1.024      0.534688    
135  1.032      0.534964    
136  1.040      0.534886    
137  1.047      0.534481    
138  1.055      0.533835    
139  1.063      0.533058    
140  1.070      0.532239    
141  1.078      0.531428    
142  1.086      0.530631    
143  1.093      0.529841    
144  1.101      0.529060    
145  1.109      0.528318    
146  1.117      0.527668    
147  1.124      0.527172    
148  1.132      0.526870    
149  1.140      0.526778    
150  1.147      0.526874    
151  1.155      0.527118    
152  1.163      0.527464    
153  1.170      0.527878    
154  1.178      0.528339    
155  1.186      0.528839    
156  1.194      0.529367    
157  1.201      0.529905    
158  1.209      0.530423    
159  1.217      0.530885    
160  1.224      0.531258    
161  1.232      0.531520    
162  1.240      0.531666    
163  1.247      0.531704    
164  1.255      0.531648    
165  1.263      0.531514    
166  1.271      0.531316    
167  1.278      0.531064    
168  1.286      0.530766    
169  1.294      0.530434    
170  1.301      0.530088    
171  1.309      0.529747    
172  1.317      0.529434    
173  1.324      0.529169    
174  1.332      0.528961    
175  1.340      0.528818    
176  1.347      0.528740    
177  1.355      0.528723    
178  1.363      0.528762    
179  1.371      0.528853    
180  1.378      0.528990    
181  1.386      0.529167    
182  1.394      0.529374    
183  1.401      0.529596    
184  1.409      0.529823    
185  1.417      0.530039    
186  1.424      0.530234    
187  1.432      0.530399    
188  1.440      0.530528    
189  1.448      0.530619    
190  1.455      0.530670    
191  1.463      0.530682    
192  1.471      0.530656    
193  1.478      0.530595    
194  1.486      0.530503    
195  1.494      0.530385    
196  1.501      0.530250    
197  1.509      0.530105    
198  1.517      0.529961    
199  1.525      0.529824    
200  1.532      0.529701    
