# FFWT Removed                                                                    
# Operating point sequence...
# i     t     Mc` mom[ 1]  
  1  0.000      0.356172    
  2 0.7700E-02  0.356172    
  3 0.1540E-01  0.356172    
  4 0.2310E-01  0.356172    
  5 0.3080E-01  0.356172    
  6 0.3850E-01  0.356172    
  7 0.4620E-01  0.356172    
  8 0.5390E-01  0.356172    
  9 0.6160E-01  0.356172    
 10 0.6930E-01  0.356171    
 11 0.7700E-01  0.356171    
 12 0.8470E-01  0.356171    
 13 0.9240E-01  0.356171    
 14 0.1001      0.356171    
 15 0.1078      0.356170    
 16 0.1155      0.356170    
 17 0.1232      0.356169    
 18 0.1309      0.356169    
 19 0.1386      0.356169    
 20 0.1463      0.356168    
 21 0.1540      0.356168    
 22 0.1617      0.356167    
 23 0.1694      0.356166    
 24 0.1771      0.356166    
 25 0.1848      0.356165    
 26 0.1925      0.356164    
 27 0.2002      0.356163    
 28 0.2079      0.356162    
 29 0.2156      0.356161    
 30 0.2233      0.356160    
 31 0.2310      0.356160    
 32 0.2387      0.356158    
 33 0.2464      0.356157    
 34 0.2541      0.356156    
 35 0.2618      0.356172    
 36 0.2695      0.356498    
 37 0.2772      0.357594    
 38 0.2849      0.359878    
 39 0.2926      0.363533    
 40 0.3003      0.368439    
 41 0.3080      0.374292    
 42 0.3157      0.380808    
 43 0.3234      0.387871    
 44 0.3311      0.395542    
 45 0.3388      0.403949    
 46 0.3465      0.413144    
 47 0.3542      0.423036    
 48 0.3619      0.433423    
 49 0.3696      0.444087    
 50 0.3773      0.454879    
 51 0.3850      0.465748    
 52 0.3927      0.476692    
 53 0.4004      0.487692    
 54 0.4081      0.498666    
 55 0.4158      0.509470    
 56 0.4235      0.519944    
 57 0.4312      0.529957    
 58 0.4389      0.539432    
 59 0.4466      0.548328    
 60 0.4543      0.556612    
 61 0.4620      0.564227    
 62 0.4697      0.571089    
 63 0.4774      0.577107    
 64 0.4851      0.582204    
 65 0.4928      0.586333    
 66 0.5005      0.589478    
 67 0.5082      0.591633    
 68 0.5159      0.592794    
 69 0.5236      0.592944    
 70 0.5313      0.592068    
 71 0.5390      0.590158    
 72 0.5467      0.587227    
 73 0.5544      0.583308    
 74 0.5621      0.578445    
 75 0.5698      0.572689    
 76 0.5775      0.566088    
 77 0.5852      0.558694    
 78 0.5929      0.550562    
 79 0.6006      0.541759    
 80 0.6083      0.532364    
 81 0.6160      0.522464    
 82 0.6237      0.512149    
 83 0.6314      0.501510    
 84 0.6391      0.490636    
 85 0.6468      0.479618    
 86 0.6545      0.468550    
 87 0.6622      0.457527    
 88 0.6699      0.446647    
 89 0.6776      0.436009    
 90 0.6853      0.425705    
 91 0.6930      0.415825    
 92 0.7007      0.406451    
 93 0.7084      0.397663    
 94 0.7161      0.389539    
 95 0.7238      0.382148    
 96 0.7315      0.375558    
 97 0.7392      0.369825    
 98 0.7469      0.365000    
 99 0.7546      0.361123    
100 0.7623      0.358228    
101 0.7700      0.356338    
102 0.7777      0.355472    
103 0.7854      0.355487    
104 0.7931      0.355959    
105 0.8008      0.356421    
106 0.8085      0.356553    
107 0.8162      0.356322    
108 0.8239      0.355940    
109 0.8316      0.355680    
110 0.8393      0.355688    
111 0.8470      0.355910    
112 0.8547      0.356164    
113 0.8624      0.356278    
114 0.8701      0.356202    
115 0.8778      0.356017    
116 0.8855      0.355861    
117 0.8932      0.355828    
118 0.9009      0.355916    
119 0.9086      0.356046    
120 0.9163      0.356125    
121 0.9240      0.356109    
122 0.9317      0.356024    
123 0.9394      0.355936    
124 0.9471      0.355900    
125 0.9548      0.355930    
126 0.9625      0.355993    
127 0.9702      0.356040    
128 0.9779      0.356044    
129 0.9856      0.356007    
130 0.9933      0.355959    
131  1.001      0.355932    
132  1.009      0.355938    
133  1.016      0.355966    
134  1.024      0.355992    
135  1.032      0.355999    
136  1.040      0.355984    
137  1.047      0.355959    
138  1.055      0.355941    
139  1.063      0.355939    
140  1.070      0.355950    
141  1.078      0.355964    
142  1.086      0.355969    
143  1.093      0.355963    
144  1.101      0.355950    
145  1.109      0.355938    
146  1.117      0.355934    
147  1.124      0.355937    
148  1.132      0.355943    
149  1.140      0.355946    
150  1.147      0.355944    
151  1.155      0.355937    
152  1.163      0.355930    
153  1.170      0.355926    
154  1.178      0.355926    
155  1.186      0.355928    
156  1.194      0.355929    
157  1.201      0.355927    
158  1.209      0.355924    
159  1.217      0.355919    
160  1.224      0.355916    
161  1.232      0.355915    
162  1.240      0.355915    
163  1.247      0.355915    
164  1.255      0.355914    
165  1.263      0.355911    
166  1.271      0.355908    
167  1.278      0.355905    
168  1.286      0.355903    
169  1.294      0.355902    
170  1.301      0.355901    
171  1.309      0.355899    
172  1.317      0.355897    
173  1.324      0.355895    
174  1.332      0.355893    
175  1.340      0.355891    
176  1.347      0.355889    
177  1.355      0.355888    
178  1.363      0.355886    
179  1.371      0.355885    
180  1.378      0.355883    
181  1.386      0.355881    
182  1.394      0.355879    
183  1.401      0.355877    
184  1.409      0.355876    
185  1.417      0.355874    
186  1.424      0.355872    
187  1.432      0.355870    
188  1.440      0.355869    
189  1.448      0.355867    
190  1.455      0.355865    
191  1.463      0.355863    
192  1.471      0.355862    
193  1.478      0.355860    
194  1.486      0.355858    
195  1.494      0.355856    
196  1.501      0.355854    
197  1.509      0.355853    
198  1.517      0.355851    
199  1.525      0.355849    
200  1.532      0.355848    
