# FFWT Flare 10                                                                   
# Operating point sequence...
# i     t     V             alpha         Phi[ 2]       Theta[ 2]     Psi[ 2]       Phi[ 3]       Theta[ 3]     Psi[ 3]      
  1  1.000       10.0000       10.0000      -57.9725       8.22719      -4.70197       57.9741       8.22734       4.70222    
  2  2.000       11.0000       10.0000      -51.4907       7.70024      -3.78010       51.4903       7.70020       3.78005    
  3  3.000       12.0000       10.0000      -47.6021       4.34855      -2.19679       44.3170       6.99883       2.84958    
  4  4.000       13.0000       10.0000      -39.0630       5.58493     -0.885754       36.3867       6.08752       1.94814    
  5  5.000       14.0000       10.0000      -28.2965       4.76612      -1.10981       27.6598       4.93520       1.13163    
  6  6.000       15.0000       10.0000      -18.5056       3.56295     -0.425123       18.3376       3.55875      0.485053    
  7  7.000       16.0000       10.0000      -10.1417       1.65440      -1.38303       8.74962       2.02292      0.828787E-01
  8  8.000       18.0000       10.0000       10.3437      -1.21364     -0.118740      -3.28993      -1.02970     -0.190358E-01
  9  9.000       19.0000       10.0000       26.6589      -2.90765     -0.956871      -18.8190      -2.63103      0.491146    
 10  10.00       20.0000       10.0000       25.9989      -3.72714     -0.978022      -25.7140      -3.72617      0.947736    
 11  11.00       21.0000       10.0000       30.9428      -4.49678      -1.38012      -30.9443      -4.49705       1.38027    
 12  12.00       22.0000       10.0000       30.4383      -5.26614      -1.07249      -34.8662      -5.02359       1.74956    
 13  13.00       23.0000       10.0000       34.0809      -4.13756      -3.84492      -37.8740      -5.38559       2.05646    
 14  14.00       24.0000       10.0000       40.2525      -5.63726      -2.31193      -40.2572      -5.63806       2.31249    
