# FFWT Flare 10                                                                   
# Operating point sequence...
# i     t     V             alpha         Phi[ 2]       Theta[ 2]     Psi[ 2]       Phi[ 3]       Theta[ 3]     Psi[ 3]      
  1  1.000       10.0000       7.50000      -57.8509       8.31725      -5.61140       56.9727       8.49385       7.22538    
  2  2.000       11.0000       7.50000      -52.4503       7.73794      -3.91419       52.8498       7.12528       3.83184    
  3  3.000       12.0000       7.50000      -45.7570       5.79500      -4.49354       46.1972       7.14270       3.08698    
  4  4.000       13.0000       7.50000      -39.7198       6.34142      -2.42627       37.8970       7.11040       2.65775    
  5  5.000       14.0000       7.50000      -33.1523       5.80123      -1.48376       33.2838       5.64244       1.64203    
  6  6.000       15.0000       7.50000      -26.9587       4.78971      -1.08211       26.9591       4.78977       1.08214    
  7  7.000       16.0000       7.50000      -20.7019       3.88132     -0.634072       20.7023       3.88139      0.634097    
  8  8.000       17.0000       7.50000      -14.1243       2.90720     -0.335841       14.3631       2.90516      0.293699    
  9  9.000       18.0000       7.50000      -7.24844       1.91885      0.118776       1.05291       1.91824      0.837002    
 10  10.00       19.0000       7.50000      -1.53473      0.810503      0.275283E-01   1.53962      0.811435     -0.275084E-01
 11  11.00       20.0000       7.50000       4.59339     -0.215956      0.298695E-02  -4.91512     -0.104339       2.01598    
 12  12.00       21.0000       7.50000       10.2750      -1.16373     -0.122635      -10.2766      -1.16405      0.122689    
 13  13.00       22.0000       7.50000       15.2543      -1.97624     -0.312598      -15.2528      -1.97594      0.312524    
 14  14.00       23.0000       7.50000       19.5258      -2.64979     -0.533385      -19.5244      -2.64953      0.533301    
 15  15.00       24.0000       7.50000       28.8643      -1.62496      -4.05018      -26.1207      -3.05961       1.23212    
 16  16.00       25.0000       7.50000       26.1440      -3.62128     -0.975616      -36.5725      -1.57924       4.22455    
