# [0_3/90]_s                                                                      
# Operating point sequence...
# i     t     RY pos[ 1]    Psi[ 1]       V[ 1]         beta[ 1]     
  1  1.000               NaN           NaN           NaN           NaN
  2  2.000     -0.537981E-04  0.601667E-03   1.00004       1.13130    
  3  3.000     -0.214743E-03  0.240224E-02   2.00009       1.12929    
  4  4.000     -0.481744E-03  0.538878E-02   3.00013       1.12595    
  5  5.000     -0.852967E-03  0.953996E-02   4.00017       1.12132    
  6  6.000     -0.132589E-02  0.148264E-01   5.00021       1.11541    
  7  7.000     -0.189734E-02  0.212113E-01   6.00025       1.10827    
  8  8.000     -0.256355E-02  0.286508E-01   7.00029       1.09995    
  9  9.000     -0.332025E-02  0.370950E-01   8.00033       1.09051    
 10  10.00     -0.416267E-02  0.464887E-01   9.00037       1.08000    
 11  11.00     -0.508568E-02  0.567719E-01   10.0004       1.06849    
 12  12.00     -0.608384E-02  0.678812E-01   11.0004       1.05605    
 13  13.00     -0.715145E-02  0.797502E-01   12.0005       1.04275    
 14  14.00     -0.828269E-02  0.923109E-01   13.0005       1.02867    
 15  15.00     -0.947161E-02  0.105494       14.0005       1.01388    
 16  16.00     -0.107123E-01  0.119230       15.0006      0.998469    
 17  17.00     -0.119988E-01  0.133450       16.0006      0.982502    
 18  18.00     -0.133254E-01  0.148086       17.0006      0.966057    
 19  19.00     -0.146864E-01  0.163073       18.0007      0.949210    
 20  20.00     -0.160763E-01  0.178345       19.0007      0.932030    
 21  21.00     -0.174901E-01  0.193843       20.0007      0.914586    
 22  22.00     -0.189226E-01  0.209509       21.0007      0.896942    
 23  23.00     -0.203694E-01  0.225287       22.0007      0.879160    
 24  24.00     -0.218259E-01  0.241126       23.0008      0.861298    
 25  25.00     -0.232883E-01  0.256980       24.0008      0.843408    
 26  26.00     -0.247528E-01  0.272804       25.0008      0.825541    
 27  27.00     -0.262160E-01  0.288558       26.0008      0.807742    
 28  28.00     -0.276747E-01  0.304206       27.0008      0.790051    
 29  29.00     -0.291263E-01  0.319715       28.0008      0.772507    
 30  30.00     -0.305683E-01  0.335056       29.0009      0.755142    
 31  31.00     -0.319985E-01  0.350203       30.0009      0.737986    
