Exp,
X,Y
-8.904517689563846,-0.5528751856217756
-8.552532876104163,-0.4824212734036527
-7.760015921372911,-0.4158564626995912
-6.967498966641662,-0.3492916519955297
-5.398631374290044,-0.2787716048437715
-4.133984476661411,-0.20826809142542213
-2.9362073452641564,-0.14037690788567225
-1.7376953812709548,-0.07509438006154223
-0.1015906063899834,-0.0032663308889943066
2.0422834922919115,0.06598061879028194
3.679123099768834,0.13520001224721
4.43747033878844,0.20306731372759157
5.702852069013023,0.2709621714303212
6.562238789975655,0.34013931201298214
7.354388328408934,0.4080084505748535
8.990493103289904,0.47983649974740145
9.749575174905463,0.5450951455121632
