Exp,
X,Y
-8.954295181432109,-0.5503486683717602
-8.183460817250682,-0.48118897023820706
-7.874783095342503,-0.40785037033750937
-7.067421730903433,-0.34561319394560863
-6.085615275547829,-0.26262483214949306
-4.567369690847947,-0.20596498472069835
-3.866927606311009,-0.1409534761903949
-2.0664986597552932,-0.07185315490703592
-0.08855340589366634,-0.002763071011641527
2.706376357093742,0.06351173119349185
4.258077725661888,0.1340104796728131
5.491682975394436,0.19483899148078704
6.261698348538694,0.2695350690255884
7.494075111715496,0.33866814995043404
8.335915998819289,0.4078237531288017
9.568088014236793,0.4783409289064593
10.978595327997375,0.5433114878849045
