  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 63012A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   6.411   0.0000   0.03371   0.02820   0.1137   0.4994   0.9507
   5.943  -0.0000   0.03304   0.02763   0.1060   0.5266   0.9513
   5.419  -0.0000   0.02478   0.01935   0.0972   0.5511   0.9586
   5.930  -0.0000   0.02300   0.01755   0.1067   0.5325   0.9030
   5.488   0.0000   0.01915   0.01363   0.0983   0.5529   0.8934
   5.035  -0.0000   0.01732   0.01189   0.0903   0.5732   0.8893
   4.607   0.0000   0.01585   0.01044   0.0828   0.5894   0.8858
   4.187   0.0000   0.01465   0.00919   0.0757   0.6018   0.8846
   3.692   0.0000   0.01336   0.00797   0.0671   0.6234   0.8831
   3.161  -0.0000   0.01227   0.00686   0.0576   0.6439   0.8792
   2.599  -0.0000   0.01119   0.00582   0.0476   0.6633   0.8742
   2.011  -0.0000   0.01027   0.00491   0.0371   0.6875   0.8678
   1.384   0.0000   0.00949   0.00424   0.0258   0.7119   0.8537
   0.688   0.0000   0.00881   0.00373   0.0128   0.7444   0.8294
   0.002   0.0000   0.00856   0.00356   0.0001   0.7900   0.7910
  -0.686  -0.0000   0.00881   0.00376  -0.0128   0.8324   0.7457
  -1.363   0.0000   0.00941   0.00421  -0.0257   0.8647   0.7136
  -2.545  -0.0000   0.01148   0.00615  -0.0473   0.8858   0.6636
  -3.111  -0.0000   0.01263   0.00726  -0.0574   0.8884   0.6434
  -3.633  -0.0000   0.01379   0.00842  -0.0666   0.8890   0.6230
  -4.109   0.0000   0.01521   0.00976  -0.0747   0.8873   0.6022
  -4.526   0.0000   0.01647   0.01106  -0.0819   0.8863   0.5906
  -4.948   0.0000   0.01810   0.01270  -0.0894   0.8893   0.5748
  -5.378  -0.0000   0.02049   0.01499  -0.0973   0.8956   0.5558
  -4.720  -0.0000   0.02271   0.01734  -0.0846   0.9627   0.5741
  -5.235  -0.0000   0.02442   0.01897  -0.0934   0.9614   0.5542
  -5.950  -0.0000   0.02696   0.02155  -0.1067   0.9573   0.5264
  -6.373   0.0000   0.03419   0.02870  -0.1134   0.9506   0.4999
  -6.648  -0.0000   0.02839   0.02293  -0.1163   0.9310   0.4859
