  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 63012A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.650 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   7.676   0.0000   0.02227   0.01677   0.1332   0.1688   0.8668
   7.198   0.0000   0.02025   0.01502   0.1261   0.2463   0.8691
   7.575   0.0000   0.01395   0.00846   0.1289   0.1894   0.8296
   7.030  -0.0000   0.01218   0.00701   0.1204   0.2901   0.8322
   6.449   0.0000   0.01078   0.00593   0.1110   0.3902   0.8346
   5.870  -0.0000   0.00956   0.00482   0.1011   0.4386   0.8334
   5.277  -0.0000   0.00862   0.00390   0.0909   0.4707   0.8309
   4.663   0.0000   0.00796   0.00326   0.0805   0.5035   0.8287
   4.027   0.0000   0.00735   0.00273   0.0695   0.5383   0.8232
   3.379   0.0000   0.00700   0.00238   0.0583   0.5679   0.8156
   2.726  -0.0000   0.00692   0.00233   0.0472   0.5983   0.8047
   2.060  -0.0000   0.00662   0.00210   0.0357   0.6321   0.7974
   1.390  -0.0000   0.00640   0.00186   0.0241   0.6570   0.7838
   0.708  -0.0000   0.00631   0.00169   0.0124   0.6853   0.7547
  -0.714  -0.0000   0.00608   0.00169  -0.0126   0.7769   0.6786
  -1.403   0.0000   0.00635   0.00180  -0.0246   0.8050   0.6497
  -2.069   0.0000   0.00650   0.00212  -0.0362   0.8257   0.6279
  -2.733  -0.0000   0.00689   0.00246  -0.0477   0.8300   0.5970
  -3.380  -0.0000   0.00720   0.00266  -0.0588   0.8276   0.5642
  -4.015   0.0000   0.00762   0.00304  -0.0695   0.8231   0.5391
  -4.647  -0.0000   0.00824   0.00354  -0.0802   0.8187   0.5039
  -5.257   0.0000   0.00903   0.00427  -0.0904   0.8142   0.4710
  -5.844  -0.0000   0.01012   0.00535  -0.1004   0.8125   0.4416
  -6.397   0.0000   0.01164   0.00681  -0.1102   0.8175   0.3934
  -6.786   0.0000   0.01475   0.00986  -0.1184   0.8269   0.3424
  -6.566   0.0000   0.01989   0.01510  -0.1176   0.8697   0.3678
  -7.173  -0.0000   0.02200   0.01681  -0.1269   0.8646   0.2482
  -7.348  -0.0000   0.03073   0.02544  -0.1286   0.8541   0.2128
  -7.717  -0.0000   0.03282   0.02739  -0.1338   0.8540   0.1652
