  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 63012A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.650 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.8809   0.01760   0.01005   0.1294   0.6231   0.0838
   0.000  -0.8503   0.01553   0.00837   0.1249   0.6262   0.1525
   0.000  -0.8252   0.01313   0.00640   0.1214   0.6307   0.2402
   0.000  -0.8011   0.01098   0.00484   0.1187   0.6354   0.3650
   0.000  -0.7666   0.00935   0.00380   0.1147   0.6402   0.4858
   0.000  -0.7235   0.00795   0.00293   0.1094   0.6447   0.6038
   0.000  -0.6648   0.00728   0.00260   0.1013   0.6484   0.6732
   0.000  -0.5237   0.00731   0.00275   0.0807   0.6554   0.7506
   0.000  -0.4512   0.00712   0.00258   0.0698   0.6622   0.7572
   0.000  -0.3778   0.00692   0.00235   0.0586   0.6689   0.7563
   0.000  -0.3040   0.00674   0.00217   0.0473   0.6765   0.7572
   0.000  -0.2302   0.00662   0.00201   0.0360   0.6832   0.7572
   0.000  -0.1619   0.00662   0.00191   0.0245   0.6872   0.7551
   0.000  -0.0853   0.00637   0.00173   0.0125   0.6984   0.7447
   0.000  -0.0082   0.00614   0.00160   0.0005   0.7129   0.7286
   0.000   0.0704   0.00607   0.00155  -0.0120   0.7371   0.7137
   0.000   0.2173   0.00624   0.00193  -0.0361   0.7896   0.6946
   0.000   0.2917   0.00644   0.00215  -0.0476   0.7936   0.6805
   0.000   0.3653   0.00670   0.00241  -0.0590   0.7946   0.6732
   0.000   0.4377   0.00682   0.00251  -0.0699   0.7842   0.6663
   0.000   0.5108   0.00691   0.00250  -0.0807   0.7657   0.6581
   0.000   0.5819   0.00705   0.00254  -0.0911   0.7407   0.6517
   0.000   0.6529   0.00720   0.00264  -0.1015   0.7232   0.6495
   0.000   0.7130   0.00761   0.00272  -0.1097   0.6338   0.6463
   0.000   0.7561   0.00911   0.00360  -0.1151   0.5020   0.6420
   0.000   0.7943   0.01063   0.00457  -0.1197   0.3832   0.6372
   0.000   0.8241   0.01241   0.00585  -0.1230   0.2768   0.6323
   0.000   0.8436   0.01519   0.00793  -0.1255   0.1345   0.6275
   0.000   0.8727   0.01723   0.00984  -0.1296   0.1052   0.6232
