# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
  1  1.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  2  2.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.343448E-06
  3  3.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.153177E-05
  4  4.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.403996E-05
  5  5.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.866244E-05
  6  6.000     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.165187E-04
  7  7.000     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.290599E-04
  8  8.000     -0.500000E-01  0.549998      0.500000E-01  0.549998      0.549998     -0.480749E-04
  9  9.000     -0.499999E-01  0.549996      0.500001E-01  0.549996      0.549996     -0.757068E-04
 10  10.00     -0.499998E-01  0.549994      0.500002E-01  0.549994      0.549994     -0.114457E-03
 11  11.00     -0.499997E-01  0.549990      0.500003E-01  0.549991      0.549991     -0.167216E-03
 12  12.00     -0.499995E-01  0.549986      0.500005E-01  0.549986      0.549986     -0.237258E-03
 13  13.00     -0.499992E-01  0.549980      0.500008E-01  0.549981      0.549980     -0.328278E-03
 14  14.00     -0.499988E-01  0.549972      0.500012E-01  0.549973      0.549973     -0.444422E-03
 15  15.00     -0.499982E-01  0.549963      0.500017E-01  0.549964      0.549963     -0.590287E-03
 16  16.00     -0.499976E-01  0.549951      0.500023E-01  0.549952      0.549951     -0.770962E-03
 17  17.00     -0.499968E-01  0.549936      0.500031E-01  0.549938      0.549937     -0.992071E-03
 18  18.00     -0.499957E-01  0.549918      0.500041E-01  0.549920      0.549919     -0.125979E-02
 19  19.00     -0.499945E-01  0.549896      0.500053E-01  0.549899      0.549897     -0.158090E-02
 20  20.00     -0.499930E-01  0.549870      0.500068E-01  0.549873      0.549872     -0.196282E-02
