# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
  1  1.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  2  2.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  3  3.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  4  4.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  5  5.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  6  6.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  7  7.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  8  8.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  9  9.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 10  10.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 11  11.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 12  12.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 13  13.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 14  14.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 15  15.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 16  16.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 17  17.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 18  18.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 19  19.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 20  20.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 21  21.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 22  22.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 23  23.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 24  24.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 25  25.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 26  26.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 27  27.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 28  28.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 29  29.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 30  30.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 31  31.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 32  32.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 33  33.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 34  34.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 35  35.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 36  36.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 37  37.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 38  38.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 39  39.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 40  40.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 41  41.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 42  42.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 43  43.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 44  44.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 45  45.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254788E-11
 46  46.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 47  47.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 48  48.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 49  49.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 50  50.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
 51  51.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
