ALPHA_1_B,,ALPHA_1_W,,ALPHA_5_B,,ALPHA_5_W,,ALPHA_10_B,,ALPHA_10_W,,ALPHA_15_B,,ALPHA_15_W,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.006176885841064905,0.9853603603603602,-0.006176885841064905,0.9853603603603602,0.013715207745058855,4.954954954954957,0.013715207745058855,4.954954954954957,-0.017875151270673406,9.99436936936937,-0.01822811617587705,10.050675675675675,-0.02637152077450544,14.921171171171173,-0.004159943525614995,14.949324324324326
7.024379790238,0.8727477477477485,7.000756353368295,1.0698198198198199,6.996672045179509,5.292792792792792,6.998789834610732,4.954954954954957,7.026245461879792,11.289414414414415,6.983410649455428,10.979729729729732,6.995361032674466,16.216216216216218,7.042078459056072,15.906531531531533
9.015858208955226,1.0416666666666679,9.03842275110932,1.0135135135135158,8.985150262202502,5.940315315315313,8.991150665590965,4.983108108108109,9.034817466720455,12.302927927927929,9.037464703509482,11.88063063063063,9.006403791851554,16.835585585585587,9.050826946349336,16.891891891891895
11.029195240016136,1.2950450450450468,11.03148951189996,0.9290540540540562,11.016286809197258,6.925675675675674,11.017169221460268,6.78490990990991,11.043389471561113,13.316441441441441,10.985049415086728,11.908783783783784,11.019211375554658,17.173423423423426,11.066281766841474,16.807432432432435
13.020673658733362,1.4639639639639626,13.068449979830579,0.9853603603603602,13.003529649052037,7.77027027027027,12.9864360629286,6.925675675675674,13.009126663977412,14.02027027027027,12.966291851553045,13.710585585585587,11.983662767244859,16.891891891891895,11.981544977813634,17.229729729729733
14.98835215812828,1.8581081081081088,16.98618394513917,1.0135135135135158,14.98530153287616,9.487612612612612,15.012807583703104,8.67117117117117,14.977511093182734,14.301801801801803,14.97504033884631,14.695945945945947,12.991654901169827,16.807432432432435,12.968560911657928,16.920045045045047
16.979654094392902,2.05518018018018,18.990520371117388,2.7027027027027017,16.928827148043567,10.163288288288289,16.960745260185558,8.643018018018019,15.961879790237997,14.414414414414415,15.982326542960873,14.724099099099101,14.002470754336429,16.27252252252252,13.990293465106898,18.215090090090094
18.967426381605485,2.815315315315317,20.982351754739817,2.815315315315317,19.00703408632513,10.782657657657657,19.008269463493345,10.585585585585585,16.99120108914885,14.498873873873874,16.961753731343286,15.625000000000002,14.967275110931826,15.934684684684685,14.973073820088747,18.58108108108108
20.97882210568778,3.3783783783783754,22.963064743848328,4.701576576576574,20.944206333198874,12.471846846846848,20.927995159338447,11.486486486486488,18.043792860024205,14.442567567567568,17.96974586526825,15.540540540540542,15.957291246470351,15.146396396396398,15.955148245260187,19.059684684684687
22.967476805163376,3.9977477477477485,24.988730334812427,6.559684684684687,21.94284489713594,13.879504504504505,21.951316054860833,12.528153153153154,18.969846712384026,9.572072072072075,18.9754437273094,15.822072072072073,16.980813836224286,12.58445945945946,16.974763009277936,20.69256756756757
23.993091972569587,4.673423423423422,25.973804961678102,6.559684684684687,22.968838241226305,10.923423423423426,22.942214602662368,11.599099099099101,19.98172146026624,8.868243243243242,19.938306776926183,15.79391891891892,17.991100242033077,12.134009009009011,17.937802541347317,20.636261261261264
24.995436668011298,5.489864864864863,26.914103469140784,6.559684684684687,23.965560709963697,9.065315315315317,23.98227611940299,13.541666666666668,,,,,,,,
25.96956938281566,7.23536036036036,27.90921238402582,8.530405405405407,25.00017648245261,8.30518018018018,24.95961073013312,11.204954954954955,,,,,,,,
26.977712787414283,10.698198198198199,,,,,,,,,,,,,,
27.97990621218234,7.9673423423423415,,,,,,,,,,,,,,
