Weight;yb in inches;y/b;;Vf_exp;Vf_exp (m/s);Vf_Asw;V_err;;ff_exp;ff_Asw;ff_err;;fb1_exp;fb1_Asw;fb1_err;;fb2_exp;fb2_Asw;fb2_err;;ft_exp;ft_Asw;ft_err
0;0;0,00;;333,8;101,74;102;0,25 %;;22,10;24,48;10,75 %;;6,25;6,62;5,95 %;;35,80;40,54;13,24 %;;44,60;48,88;9,59 %
;;;;;;;;;;;;;;;;;;;;;;;
7A;8;0,17;;323,3;98,54;98;-0,55 %;;19,10;20,01;4,78 %;;6,20;6,56;5,87 %;;36,00;36,51;1,41 %;;27,00;26,56;-1,62 %
7A;11;0,23;;324;98,76;100;1,26 %;;17,40;18,23;4,77 %;;6,10;6,51;6,66 %;;35,00;34,54;-1,32 %;;22,70;23,18;2,09 %
7A;17;0,35;;382;116,43;131,5;12,94 %;;26,80;29,60;10,46 %;;5,90;6,20;5,00 %;;NC;31,55;NC;;19,70;19,22;-2,45 %
7A;30;0,63;;526;160,32;140;-12,68 %;;TDIV;TDIV;NC;;NC;NC;NC;;30,68;;-100,00 %;;;;#DIV/0 !
7A;45;0,94;;401;122,22;127;3,91 %;;TDIV;TDIV;NC;;31,40;18,00;-42,68 %;;25,67;;-100,00 %;;;;#DIV/0 !
;;;;;;;;;;;;;;;;;;;;;;;
7B;11;0,23;;325;99,06;106;7,01 %;;18,54;20,10;8,41 %;;6,12;6,50;6,21 %;;25,57;28,00;9,50 %;;33,60;38,00;13,10 %
7B ;21;0,44;;370;112,78;127;12,61 %;;24,50;TDIV;NC;;5,33;5,80;8,82 %;;25,00;21,60;-13,60 %;;28,00;33,00;17,86 %
;;;;;;;;;;;;;;;;;;;;;;;
7C;11;0,23;;326;99,36;100;0,64 %;;19,60;20,29;3,54 %;;6,16;6,51;5,69 %;;26,65;27,58;3,49 %;;34,50;32,91;-4,61 %
7C;21;0,44;;346;105,46;126;19,48 %;;16,50;16,10;-2,42 %;;5,39;5,82;8,06 %;;22,50;22,23;-1,21 %;;27,00;28,28;4,74 %
7C;28;0,58;;367;111,86;137;22,47 %;;14,00;15,60;11,43 %;;4,63;5,00;8,02 %;;29,40;30,45;3,57 %;;23,10;21,77;-5,77 %
;;;;;;;;;;;;;;;;;;;;;;;
7D;11;0,23;;320;97,54;97;-0,55 %;;20,00;21,10;5,49 %;;6,09;6,50;6,81 %;;24,50;29,34;19,76 %;;33,25;31,93;-3,98 %
7D;21;0,44;;318;96,93;102,5;5,75 %;;17,60;18,27;3,81 %;;5,42;5,82;7,44 %;;23,15;24,26;4,79 %;;26,10;26,76;2,53 %
7D;27;0,56;;331;100,89;108,5;7,54 %;;15,30;16,62;8,61 %;;4,79;5,12;6,94 %;;27,40;28,64;4,52 %;;25,65;23,50;-8,37 %
7D;33;0,69;;343;104,55;115;10,00 %;;13,20;14,95;13,24 %;;4,20;4,41;4,92 %;;33,25;35,35;6,32 %;;23,50;22,36;-4,87 %
;;;;;;;;;;;;;;;;;;;;;;;
7E;11;0,23;;312;95,10;93;-2,21 %;;23,33;21,40;-8,26 %;;6,28;6,50;3,57 %;;26,70;29,59;10,82 %;;37,40;31,62;-15,45 %
7E;21;0,44;;285;86,87;86;-1,00 %;;17,60;19,31;9,71 %;;5,57;5,82;4,45 %;;29,40;25,63;-12,82 %;;29,10;25,16;-13,54 %
7E;29;0,60;;298;90,83;90;-0,91 %;;14,52;16,77;15,49 %;;4,67;4,87;4,27 %;;30,00;30,23;0,77 %;;25,30;23,15;-8,52 %
7E;35;0,73;;295,5;90,07;96;6,59 %;;13,00;14,86;14,28 %;;4,03;4,17;3,57 %;;35,62;37,66;5,72 %;;29,95;21,90;-26,88 %
7E;40;0,83;;314;95,71;103,5;8,14 %;;11,43;12,95;13,31 %;;3,57;3,67;2,66 %;;34,59;38,52;11,36 %;;22,75;21,10;-7,23 %
7E;48;1,00;;338;103,02;117;13,57 %;;8,85;9,25;4,54 %;;3,00;3,00;-0,15 %;;27,70;30,02;8,38 %;;21,60;20,18;-6,58 %
;;;;;;;;;;;;;;;;;;;;;;;
7F;11;0,23;;278;84,73;87,5;3,26 %;;19,10;21,63;13,24 %;;6,20;6,51;4,93 %;;38,30;33,88;-11,53 %;;36,80;26,66;-27,56 %
7F;16;0,33;;252;76,81;75;-2,36 %;;17,15;19,98;16,51 %;;6,00;6,27;4,51 %;;35,30;31,03;-12,09 %;;34,60;22,94;-33,69 %
7F;24;0,50;;229;69,80;62,5;-10,46 %;;14,30;18,35;28,29 %;;5,25;5,82;10,94 %;;31,70;28,28;-10,79 %;;26,20;22,23;-15,16 %
7F;32;0,67;;246;74,98;68,5;-8,64 %;;12,00;16,40;36,67 %;;4,38;4,54;3,68 %;;34,20;34,93;2,14 %;;21,50;21,50;0,02 %
7F;40;0,83;;262,5;80,01;78,5;-1,89 %;;9,86;13,64;38,34 %;;3,68;3,70;0,67 %;;34,10;38,59;13,15 %;;22,00;20,81;-5,41 %
7F;48;1,00;;268,5;81,84;91,5;11,81 %;;7,50;9,78;30,37 %;;3,02;3,03;0,37 %;;27,27;28,28;3,70 %;;20,00;20,02;0,09 %
