# [0_3/90]_s                                                                      
# Operating point sequence...
# i     t     RY pos[ 1]    Theta[ 1]    
  1  9.980     -0.245805     -0.235907    
  2  9.981     -0.243593     -0.239052    
  3  9.982     -0.241316     -0.244906    
  4  9.983     -0.238954     -0.254257    
  5  9.984     -0.236505     -0.267280    
  6  9.985     -0.233971     -0.283915    
  7  9.986     -0.231354     -0.304033    
  8  9.987     -0.228661     -0.327481    
  9  9.988     -0.225894     -0.354108    
 10  9.989     -0.223060     -0.383777    
 11  9.990     -0.220164     -0.416367    
 12  9.991     -0.217212     -0.451770    
 13  9.992     -0.214212     -0.489899    
 14  9.993     -0.211170     -0.530697    
 15  9.994     -0.208093     -0.574152    
 16  9.995     -0.204989     -0.620303    
 17  9.996     -0.201865     -0.669242    
 18  9.997     -0.198730     -0.721099    
 19  9.998     -0.195593     -0.776031    
 20  9.999     -0.192462     -0.834215    
 21  10.00     -0.189346     -0.895842    
 22  10.00     -0.186256     -0.961115    
 23  10.00     -0.183202      -1.03025    
 24  10.00     -0.180193      -1.10349    
 25  10.00     -0.177240      -1.18104    
 26  10.01     -0.174355      -1.26315    
 27  10.01     -0.171549      -1.35002    
 28  10.01     -0.168834      -1.44182    
 29  10.01     -0.166222      -1.53872    
 30  10.01     -0.163725      -1.64080    
 31  10.01     -0.161356      -1.74813    
 32  10.01     -0.159126      -1.86071    
 33  10.01     -0.157048      -1.97850    
 34  10.01     -0.155135      -2.10137    
 35  10.01     -0.153396      -2.22913    
 36  10.02     -0.151845      -2.36152    
 37  10.02     -0.150491      -2.49820    
 38  10.02     -0.149345      -2.63876    
 39  10.02     -0.148416      -2.78268    
 40  10.02     -0.147712      -2.92938    
 41  10.02     -0.147240      -3.07820    
 42  10.02     -0.147007      -3.22836    
 43  10.02     -0.147017      -3.37902    
 44  10.02     -0.147273      -3.52923    
 45  10.02     -0.147779      -3.67795    
 46  10.03     -0.148533      -3.82403    
 47  10.03     -0.149537      -3.96626    
 48  10.03     -0.150786      -4.10334    
 49  10.03     -0.152278      -4.23391    
 50  10.03     -0.154007      -4.35661    
 51  10.03     -0.155966      -4.47009    
 52  10.03     -0.158149      -4.57303    
 53  10.03     -0.160545      -4.66423    
 54  10.03     -0.163146      -4.74259    
 55  10.03     -0.165942      -4.80713    
 56  10.04     -0.168920      -4.85704    
 57  10.04     -0.172070      -4.89166    
 58  10.04     -0.175380      -4.91050    
 59  10.04     -0.178837      -4.91325    
 60  10.04     -0.182427      -4.89982    
 61  10.04     -0.186138      -4.87031    
 62  10.04     -0.189953      -4.82508    
 63  10.04     -0.193858      -4.76467    
 64  10.04     -0.197837      -4.68990    
 65  10.04     -0.201875      -4.60176    
 66  10.05     -0.205954      -4.50144    
 67  10.05     -0.210060      -4.39031    
 68  10.05     -0.214178      -4.26984    
 69  10.05     -0.218291      -4.14162    
 70  10.05     -0.222387      -4.00728    
 71  10.05     -0.226453      -3.86845    
 72  10.05     -0.230476      -3.72675    
 73  10.05     -0.234446      -3.58370    
 74  10.05     -0.238352      -3.44071    
 75  10.05     -0.242184      -3.29904    
 76  10.06     -0.245934      -3.15980    
 77  10.06     -0.249593      -3.02393    
 78  10.06     -0.253154      -2.89221    
 79  10.06     -0.256609      -2.76528    
 80  10.06     -0.259950      -2.64364    
 81  10.06     -0.263172      -2.52763    
 82  10.06     -0.266268      -2.41749    
 83  10.06     -0.269234      -2.31323    
 84  10.06     -0.272066      -2.21475    
 85  10.06     -0.274759      -2.12171    
 86  10.07     -0.277312      -2.03360    
 87  10.07     -0.279722      -1.94974    
 88  10.07     -0.281987      -1.86931    
 89  10.07     -0.284107      -1.79141    
 90  10.07     -0.286080      -1.71512    
 91  10.07     -0.287906      -1.63954    
 92  10.07     -0.289583      -1.56387    
 93  10.07     -0.291111      -1.48745    
 94  10.07     -0.292489      -1.40975    
 95  10.07     -0.293715      -1.33044    
 96  10.08     -0.294790      -1.24934    
 97  10.08     -0.295711      -1.16645    
 98  10.08     -0.296479      -1.08190    
 99  10.08     -0.297092     -0.995911    
100  10.08     -0.297550     -0.908806    
101  10.08     -0.297852     -0.820965    
102  10.08     -0.297998     -0.732811    
103  10.08     -0.297990     -0.644809    
104  10.08     -0.297825     -0.557461    
105  10.08     -0.297506     -0.471318    
106  10.09     -0.297033     -0.386982    
107  10.09     -0.296404     -0.305112    
108  10.09     -0.295621     -0.226413    
109  10.09     -0.294685     -0.151620    
110  10.09     -0.293594     -0.814730E-01
111  10.09     -0.292349     -0.166737E-01
112  10.09     -0.290951      0.421501E-01
113  10.09     -0.289400      0.944843E-01
114  10.09     -0.287697      0.139960    
115  10.09     -0.285843      0.178364    
116  10.10     -0.283839      0.209646    
117  10.10     -0.281687      0.233908    
118  10.10     -0.279390      0.251377    
119  10.10     -0.276950      0.262383    
120  10.10     -0.274369      0.267318    
121  10.10     -0.271650      0.266615    
122  10.10     -0.268796      0.260721    
123  10.10     -0.265811      0.250092    
124  10.10     -0.262697      0.235172    
125  10.10     -0.259459      0.216401    
126  10.11     -0.256101      0.194215    
127  10.11     -0.252626      0.169044    
128  10.11     -0.249038      0.141307    
129  10.11     -0.245344      0.111404    
130  10.11     -0.241547      0.796989E-01
131  10.11     -0.237654      0.465008E-01
132  10.11     -0.233671      0.120356E-01
133  10.11     -0.229604     -0.235691E-01
134  10.11     -0.225461     -0.603070E-01
135  10.11     -0.221249     -0.982961E-01
136  10.12     -0.216976     -0.137783    
137  10.12     -0.212651     -0.179127    
138  10.12     -0.208282     -0.222785    
139  10.12     -0.203879     -0.269284    
140  10.12     -0.199451     -0.319200    
141  10.12     -0.195008     -0.373133    
142  10.12     -0.190563     -0.431690    
143  10.12     -0.186126     -0.495470    
144  10.12     -0.181709     -0.565057    
145  10.12     -0.177328     -0.641020    
146  10.13     -0.172995     -0.723904    
147  10.13     -0.168727     -0.814233    
148  10.13     -0.164540     -0.912495    
149  10.13     -0.160452      -1.01914    
150  10.13     -0.156480      -1.13456    
151  10.13     -0.152645      -1.25908    
152  10.13     -0.148965      -1.39294    
153  10.13     -0.145463      -1.53627    
154  10.13     -0.142159      -1.68911    
155  10.13     -0.139075      -1.85138    
156  10.14     -0.136232      -2.02286    
157  10.14     -0.133650      -2.20322    
158  10.14     -0.131351      -2.39202    
159  10.14     -0.129354      -2.58866    
160  10.14     -0.127676      -2.79237    
161  10.14     -0.126334      -3.00219    
162  10.14     -0.125339      -3.21688    
163  10.14     -0.124703      -3.43487    
164  10.14     -0.124432      -3.65423    
165  10.14     -0.124526      -3.87275    
166  10.15     -0.124984      -4.08804    
167  10.15     -0.125798      -4.29769    
168  10.15     -0.126960      -4.49934    
169  10.15     -0.128457      -4.69070    
170  10.15     -0.130276      -4.86949    
171  10.15     -0.132403      -5.03330    
172  10.15     -0.134824      -5.17955    
173  10.15     -0.137524      -5.30549    
174  10.15     -0.140491      -5.40832    
175  10.15     -0.143710      -5.48529    
176  10.16     -0.147167      -5.53395    
177  10.16     -0.150848      -5.55226    
178  10.16     -0.154734      -5.53887    
179  10.16     -0.158806      -5.49319    
180  10.16     -0.163042      -5.41559    
181  10.16     -0.167415      -5.30743    
182  10.16     -0.171902      -5.17108    
183  10.16     -0.176475      -5.00989    
184  10.16     -0.181110      -4.82801    
185  10.16     -0.185786      -4.63021    
186  10.17     -0.190482      -4.42161    
187  10.17     -0.195182      -4.20736    
188  10.17     -0.199870      -3.99233    
189  10.17     -0.204533      -3.78076    
190  10.17     -0.209162      -3.57608    
191  10.17     -0.213746      -3.38073    
192  10.17     -0.218276      -3.19623    
193  10.17     -0.222743      -3.02332    
194  10.17     -0.227137      -2.86226    
195  10.17     -0.231448      -2.71312    
196  10.18     -0.235666      -2.57601    
197  10.18     -0.239779      -2.45126    
198  10.18     -0.243779      -2.33931    
199  10.18     -0.247656      -2.24057    
