# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000      -10.0031     -0.527861       9.67581       5.34075    
  2  2.000      -5.90338     -0.504173       10.8888       5.19218    
  3  3.000      -1.94012     -0.492659       12.5359       5.07756    
  4  4.000       1.93136     -0.486380       14.8392       4.97088    
  5  5.000       5.98520     -0.482486       18.4623       4.81713    
  6  6.000       9.99240     -0.480162       24.2168       4.50872    
  7  7.000       13.9969     -0.478863       34.2441       3.75009    
  8  8.000       16.0417     -0.478580       42.5700       2.98038    
  9  9.000       17.9471     -0.478651       54.3557       1.85341    
 10  10.00       20.1274     -0.482192       90.5746     -0.116872    
 11  11.00       20.9442     -0.482410       93.9994     -0.852309    
 12  12.00       21.8984     -0.482493       97.8941      -1.69287    
 13  13.00       22.3989     -0.482507       99.8304      -2.12411    
 14  14.00       23.0366     -0.482489       102.104      -2.66486    
