ALPHA_M3,,ALPHA_0,,ALPHA_3,,ALPHA_6,,ALPHA_9,,ALPHA_12,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-10.050921682452387,-17.66014869131277,-10.003055300947143,-10.060087585293815,-10.00047526903622,-1.5653325185864162,-10.089418474386393,5.589163865974143,-9.95057202023288,12.741114166412075,-9.993957293682316,19.89510133414808
-5.951658349458532,-20.83562480904368,-5.903384594493668,-11.894286587228834,-5.90066877142954,-2.9524391485894625,-6.034626744067625,5.990935940523485,-5.986624571409173,14.038089418474414,-5.938486607597513,22.532335268357286
-1.9890688121668845,-24.00957327630104,-1.9401161014359865,-12.832773194826359,-1.9371286960654466,-2.9967410123230422,-2.0251213633431746,7.2874019757612984,-1.930882303017956,17.56950809654751,-1.928166479953827,26.51135553518688
2.064908171232645,-26.29035543334348,1.931357572054182,-16.00570322843464,1.9809892385511105,-2.593441287300095,1.984655599687681,9.478052754863057,1.9881861696710494,21.102454425094265,1.9910377838883804,30.49139423566561
6.026682961605054,-32.14685813219265,5.985198764300506,-18.73357775740908,6.035509386563469,-3.0858539566146987,5.994568353871745,12.11579590589676,5.99891367077435,26.42275180771975,6.0021726584513,37.15296873408701
9.850018671283564,-43.81403401568383,9.992395695420445,-25.03768204501472,9.953355738873611,-3.5767389754557257,10.005431646128258,17.883185660454245,10.010591709950099,34.87269579386907,10.014393862239878,47.39128220796418
13.944665105068406,-62.1906507791017,13.996876803476251,-40.28363377125979,13.916216858471675,-5.856502698849141,13.971823335709676,27.22782360729201,14.023899242964323,48.68774824320198,13.98255083681298,62.548120989917535
15.945276165257834,-75.17873510540787,16.041687884034356,-57.74315103371012,15.96578062939199,-7.667786943680568,15.888787045523987,38.830838170893216,16.031978816580104,60.289744373154136,15.94425773160879,71.4680721051024
17.853820823573347,-91.29544760158868,17.947109345826117,-84.1429880843263,16.967376175442173,-9.914451573479965,16.93906371999864,46.8667888787046,17.996129952133618,77.25735818311442,17.953016260990598,85.30553009471438
19.9913772617714,-103.3908748345045,20.127372101707575,-105.62786434463791,17.96408323997691,-28.256441592830214,17.944868791798218,58.47998777879626,21.10398207556778,109.86047459008051,19.9616389992192,98.69589571239439
21.9467019723665,-115.48426520012217,20.944155888243888,-116.36724717384655,18.457480395152256,-53.74630817802216,18.951895983976645,74.11701802627563,21.927012255151578,119.68734086974239,22.061784974708903,113.42652001222126
22.492175034796485,-119.51420714940414,21.898428217401634,-124.42560342193704,18.992769121091765,-91.30817802220182,20.054655939165567,104.9541704857929,22.474522184879664,122.36378449943992,22.609838069049804,117.89133312964665
23.083749193740022,-121.75628882778287,22.398886512543715,-126.66666666666666,19.398037817836173,-106.9609939912414,20.51267949893065,112.9967410123231,23.02189632345453,124.59313575720547,23.430831381335512,121.011813830329
23.584207488882104,-123.99735207251243,23.03656176800082,-127.12088807414196,19.67002749770852,-111.43497301150828,20.879587194894253,121.04032997250233,23.477475642461894,124.58804358896023,24.023356078351494,121.89937875547413
23.993821502529112,-125.34321213972905,,,19.80466442611264,-118.14288624096142,21.517805614964193,122.37447805275491,,,,
24.403299725022922,-127.13616457887767,,,20.076110941372168,-124.40523474895608,22.01962182163832,124.60433852734499,,,,
,,,,20.440167023118445,-125.75058559934817,22.52130223715925,126.3871066300031,,,,
,,,,20.84978103676546,-127.09644566656479,,,,,,
