# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000      0.350614      -33.6769      -3.52512    
  2  2.000       1.00000      0.360270      -35.4618      -3.64292    
  3  3.000       2.00000      0.368204      -37.4298      -3.77180    
  4  4.000       3.00000      0.374569      -39.6090      -3.91323    
  5  5.000       4.00000      0.379493      -42.0311      -4.06841    
  6  6.000       5.00000      0.383084      -44.7312      -4.23790    
  7  7.000       6.00000      0.385430      -47.7456      -4.42099    
  8  8.000       7.00000      0.386602      -51.1079      -4.61480    
  9  9.000       8.00000      0.386656      -54.8421      -4.81303    
 10  10.00       9.00000      0.385630      -58.9515      -5.00459    
 11  11.00       10.0000      0.383540      -63.4047      -5.17250    
 12  12.00       11.0000      0.380375      -68.1200      -5.29363    
 13  13.00       12.0000      0.376063      -72.9483      -5.33892    
 14  14.00       13.0000      0.370426      -77.6519      -5.27226    
 15  15.00       14.0000      0.363061      -81.9883      -5.06293    
 16  16.00       15.0000      0.784841      -81.5585       1.89725    
 17  17.00       16.0000      0.801706      -85.9359       13.0040    
 18  18.00       17.0000      0.871858      -89.3117       22.5226    
 19  19.00       18.0000       1.65139      -89.9078       10.8997    
 20  20.00       19.0000       1.74108      -89.9016       137.495    
 21  21.00       20.0000      0.703853      -87.9666       39.0572    
 22  22.00       21.0000      0.406298      -85.2117       175.187    
 23  23.00       22.0000      0.619295      -71.0119       159.906    
 24  24.00       23.0000      0.725618      -71.6645       36.0767    
 25  25.00       24.0000      0.667044      -63.8283       75.5780    
 26  26.00       25.0000      0.836909      -81.4679      0.718345    
 27  27.00       26.0000       1.00998      -85.2312      -3.49328    
 28  28.00       27.0000      0.785854      -97.7013      -20.7917    
 29  29.00       28.0000      0.651376      -100.816      -19.7037    
 30  30.00       29.0000      0.450836      -116.122      -47.5461    
 31  31.00       30.0000      0.336978      -113.845      -29.8298    
