# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000     -0.668230E-01   11.7052       8.00961    
  2  2.000       1.00000     -0.659095E-01   12.2731       7.99257    
  3  3.000       2.00000     -0.654086E-01   12.9058       7.97516    
  4  4.000       3.00000     -0.652974E-01   13.6135       7.95661    
  5  5.000       4.00000     -0.655562E-01   14.4088       7.93592    
  6  6.000       5.00000     -0.661693E-01   15.3070       7.91181    
  7  7.000       6.00000     -0.671228E-01   16.3273       7.88258    
  8  8.000       7.00000     -0.684056E-01   17.4937       7.84596    
  9  9.000       8.00000     -0.700072E-01   18.8366       7.79890    
 10  10.00       9.00000     -0.719197E-01   20.3956       7.73722    
 11  11.00       10.0000     -0.741353E-01   22.2222       7.65512    
 12  12.00       11.0000     -0.766474E-01   24.3860       7.54447    
 13  13.00       12.0000     -0.794519E-01   26.9826       7.39367    
 14  14.00       13.0000     -0.825449E-01   30.1501       7.18590    
 15  15.00       14.0000     -0.859246E-01   34.1002       6.89610    
 16  16.00       15.0000     -0.895920E-01   39.1929       6.48526    
 17  17.00       16.0000     -0.935481E-01   46.1710       5.88605    
 18  18.00       17.0000     -0.977613E-01   57.4253       4.93661    
 19  19.00       18.0000     -0.102836       80.6717       3.63946    
 20  20.00       19.0000     -0.106857       80.9520       3.55890    
 21  21.00       20.0000     -0.110396       81.2086       3.47483    
 22  22.00       21.0000     -0.113969       81.4629       3.39736    
 23  23.00       22.0000     -0.117665       81.7079       3.32596    
 24  24.00       23.0000     -0.121538       81.9664       3.26162    
 25  25.00       24.0000     -0.125603       82.2225       3.20232    
 26  26.00       25.0000     -0.129877       82.4816       3.14536    
