# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000     -0.856992       29.7545       7.82751    
  2  2.000       1.00000     -0.852267       30.9789       7.72527    
  3  3.000       2.00000     -0.847802       32.3066       7.61385    
  4  4.000       3.00000     -0.843549       33.7504       7.49159    
  5  5.000       4.00000     -0.839470       35.3252       7.35661    
  6  6.000       5.00000     -0.835527       37.0485       7.20677    
  7  7.000       6.00000     -0.831691       38.9412       7.03968    
  8  8.000       7.00000     -0.827933       41.0284       6.85263    
  9  9.000       8.00000     -0.824229       43.3407       6.64269    
 10  10.00       9.00000     -0.820558       45.9161       6.40666    
 11  11.00       10.0000     -0.816900       48.8028       6.14124    
 12  12.00       11.0000     -0.813236       52.0631       5.84322    
 13  13.00       12.0000     -0.809543       55.7808       5.50984    
 14  14.00       13.0000     -0.805790       60.0729       5.13943    
 15  15.00       14.0000     -0.801919       65.1089       4.73257    
 16  16.00       15.0000     -0.797776       71.1368       4.29329    
 17  17.00       16.0000     -0.792757       78.4008       3.82371    
 18  18.00       17.0000     -0.780376       89.9786       3.24486    
 19  19.00       18.0000     -0.777366       90.4205       2.12647    
 20  20.00       19.0000     -0.761167       91.7094       1.23176    
 21  21.00       20.0000      0.230030       87.2144       165.551    
 22  22.00       21.0000      -1.91937       90.0793       49.0095    
 23  23.00       22.0000     -0.271657       90.0631       169.999    
 24  24.00       23.0000      -1.75110       89.9932       7.50442    
 25  25.00       24.0000     -0.773821       89.8529       172.981    
 26  26.00       25.0000     -0.538986       89.7115       177.289    
