# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     Mc` mom[ 1]  
  1  0.000      0.550534    
  2 0.1490E-01  0.550534    
  3 0.2980E-01  0.550534    
  4 0.4470E-01  0.550534    
  5 0.5960E-01  0.550534    
  6 0.7450E-01  0.550534    
  7 0.8940E-01  0.550534    
  8 0.1043      0.550534    
  9 0.1192      0.550534    
 10 0.1341      0.550534    
 11 0.1490      0.550535    
 12 0.1639      0.550536    
 13 0.1788      0.550535    
 14 0.1937      0.550534    
 15 0.2086      0.550534    
 16 0.2235      0.550535    
 17 0.2384      0.550535    
 18 0.2533      0.550535    
 19 0.2682      0.550533    
 20 0.2831      0.550534    
 21 0.2980      0.550536    
 22 0.3129      0.550535    
 23 0.3278      0.550535    
 24 0.3427      0.550534    
 25 0.3576      0.550534    
 26 0.3725      0.550534    
 27 0.3874      0.550535    
 28 0.4023      0.550536    
 29 0.4172      0.550536    
 30 0.4321      0.550536    
 31 0.4470      0.550536    
 32 0.4619      0.550536    
 33 0.4768      0.550537    
 34 0.4917      0.550538    
 35 0.5066      0.550606    
 36 0.5215      0.551319    
 37 0.5364      0.553303    
 38 0.5513      0.556771    
 39 0.5662      0.561470    
 40 0.5811      0.567016    
 41 0.5960      0.573194    
 42 0.6109      0.579963    
 43 0.6258      0.587287    
 44 0.6407      0.595024    
 45 0.6556      0.602957    
 46 0.6705      0.610903    
 47 0.6854      0.618752    
 48 0.7003      0.626436    
 49 0.7152      0.633889    
 50 0.7301      0.641032    
 51 0.7450      0.647797    
 52 0.7599      0.654145    
 53 0.7748      0.660078    
 54 0.7897      0.665615    
 55 0.8046      0.670777    
 56 0.8195      0.675592    
 57 0.8344      0.680096    
 58 0.8493      0.684331    
 59 0.8642      0.688336    
 60 0.8791      0.692134    
 61 0.8940      0.695731    
 62 0.9089      0.699114    
 63 0.9238      0.702251    
 64 0.9387      0.705089    
 65 0.9536      0.707555    
 66 0.9685      0.709565    
 67 0.9834      0.711036    
 68 0.9983      0.711883    
 69  1.013      0.712026    
 70  1.028      0.711405    
 71  1.043      0.709972    
 72  1.058      0.707708    
 73  1.073      0.704615    
 74  1.088      0.700712    
 75  1.103      0.696044    
 76  1.118      0.690674    
 77  1.132      0.684678    
 78  1.147      0.678144    
 79  1.162      0.671168    
 80  1.177      0.663851    
 81  1.192      0.656290    
 82  1.207      0.648583    
 83  1.222      0.640822    
 84  1.237      0.633094    
 85  1.252      0.625477    
 86  1.267      0.618040    
 87  1.281      0.610848    
 88  1.296      0.603960    
 89  1.311      0.597426    
 90  1.326      0.591291    
 91  1.341      0.585598    
 92  1.356      0.580383    
 93  1.371      0.575683    
 94  1.386      0.571524    
 95  1.401      0.567936    
 96  1.416      0.564945    
 97  1.430      0.562576    
 98  1.445      0.560839    
 99  1.460      0.559746    
100  1.475      0.559308    
101  1.490      0.559532    
102  1.505      0.560370    
103  1.520      0.561273    
104  1.535      0.561584    
105  1.550      0.561021    
106  1.564      0.559782    
107  1.579      0.558220    
108  1.594      0.556530    
109  1.609      0.554724    
110  1.624      0.552792    
111  1.639      0.550824    
112  1.654      0.548994    
113  1.669      0.547439    
114  1.684      0.546218    
115  1.699      0.545335    
116  1.713      0.544790    
117  1.728      0.544593    
118  1.743      0.544744    
119  1.758      0.545209    
120  1.773      0.545928    
121  1.788      0.546828    
122  1.803      0.547840    
123  1.818      0.548905    
124  1.833      0.549964    
125  1.848      0.550962    
126  1.862      0.551846    
127  1.877      0.552578    
128  1.892      0.553136    
129  1.907      0.553505    
130  1.922      0.553687    
131  1.937      0.553685    
132  1.952      0.553517    
133  1.967      0.553206    
134  1.982      0.552781    
135  1.997      0.552274    
136  2.011      0.551722    
137  2.026      0.551156    
138  2.041      0.550608    
139  2.056      0.550105    
140  2.071      0.549673    
141  2.086      0.549327    
142  2.101      0.549080    
143  2.116      0.548936    
144  2.131      0.548893    
145  2.146      0.548945    
146  2.160      0.549083    
147  2.175      0.549292    
148  2.190      0.549550    
149  2.205      0.549841    
150  2.220      0.550147    
151  2.235      0.550452    
152  2.250      0.550739    
153  2.265      0.550991    
154  2.280      0.551200    
155  2.295      0.551359    
156  2.309      0.551465    
157  2.324      0.551518    
158  2.339      0.551516    
159  2.354      0.551464    
160  2.369      0.551375    
161  2.384      0.551252    
162  2.399      0.551108    
163  2.414      0.550950    
164  2.429      0.550789    
165  2.444      0.550633    
166  2.458      0.550492    
167  2.473      0.550372    
168  2.488      0.550277    
169  2.503      0.550209    
170  2.518      0.550171    
171  2.533      0.550161    
172  2.548      0.550179    
173  2.563      0.550224    
174  2.578      0.550285    
175  2.593      0.550358    
176  2.607      0.550443    
177  2.622      0.550533    
178  2.637      0.550623    
179  2.652      0.550705    
180  2.667      0.550777    
181  2.682      0.550837    
182  2.697      0.550885    
183  2.712      0.550916    
184  2.727      0.550930    
185  2.742      0.550931    
186  2.756      0.550917    
187  2.771      0.550891    
188  2.786      0.550858    
189  2.801      0.550817    
190  2.816      0.550773    
191  2.831      0.550728    
192  2.846      0.550685    
193  2.861      0.550645    
194  2.876      0.550614    
195  2.891      0.550588    
196  2.905      0.550571    
197  2.920      0.550560    
198  2.935      0.550560    
199  2.950      0.550568    
200  2.965      0.550582    
